"Market","Side","Type","Size","Price","Order Type","Trade Type","PnL","Fees","Date Time"
"SOL-PERP","buy","","0.7","97.497","limit","trade","-0.062298","0.054598","2024-02-04T16:03:05.000Z"
"SOL-PERP","sell","","0.7","97.486","limit","trade","-0.054592","0.054592","2024-02-04T15:40:20.000Z"
"SOL-PERP","buy","","0.5","97.357","limit","trade","-0.037943","0.038943","2024-02-04T15:21:56.000Z"
"SOL-PERP","sell","","0.5","97.359","limit","trade","-0.038944","0.038944","2024-02-04T15:04:01.000Z"
"SOL-PERP","buy","","0.9","97.872","limit","trade","-0.102868","0.070468","2024-02-04T14:39:24.000Z"
"SOL-PERP","sell","","0.9","97.836","limit","trade","-0.070442","0.070442","2024-02-04T14:13:47.000Z"
"SOL-PERP","buy","","0.4","97.599","limit","trade","0.041568","0.031232","2024-02-04T13:50:43.000Z"
"SOL-PERP","sell","","0.4","97.781","limit","trade","-0.03129","0.03129","2024-02-04T13:28:21.000Z"
"SOL-PERP","buy","","0.5","97.805","limit","trade","-0.069622","0.039122","2024-02-04T13:16:38.000Z"
"SOL-PERP","sell","","0.5","97.744","limit","trade","-0.039098","0.039098","2024-02-04T12:59:05.000Z"
"SOL-PERP","buy","","0.1","98.329","limit","trade","-0.022163","0.007863","2024-02-04T12:37:01.000Z"
"SOL-PERP","buy","","0.5","98.288","limit","trade","-0.090317","0.039317","2024-02-04T12:37:01.000Z"
"SOL-PERP","sell","","0.6","98.186","limit","trade","-0.047129","0.047129","2024-02-04T12:25:52.000Z"
"SOL-PERP","buy","","0.7","98.081","limit","trade","-0.171125","0.054925","2024-02-04T12:14:26.000Z"
"SOL-PERP","sell","","0.7","97.915","limit","trade","-0.054832","0.054832","2024-02-04T11:48:44.000Z"
"SOL-PERP","buy","","0.5","97.543","limit","trade","-0.131017","0.039017","2024-02-04T11:32:44.000Z"
"SOL-PERP","sell","","0.5","97.359","limit","trade","-0.038944","0.038944","2024-02-04T11:17:20.000Z"
"SOL-PERP","buy","","0.5","97.186","limit","trade","-0.073374","0.038874","2024-02-04T10:58:15.000Z"
"SOL-PERP","sell","","0.5","97.117","limit","trade","-0.038847","0.038847","2024-02-04T10:36:29.000Z"
"SOL-PERP","buy","","0.4","97.201","limit","trade","-0.037104","0.031104","2024-02-04T10:23:55.000Z"
"SOL-PERP","sell","","0.4","97.186","limit","trade","-0.0311","0.0311","2024-02-04T10:12:27.000Z"
"SOL-PERP","buy","","0.3","97.463","limit","trade","-0.163191","0.023391","2024-02-04T09:48:07.000Z"
"SOL-PERP","sell","","0.3","96.997","limit","trade","-0.023279","0.023279","2024-02-04T09:29:55.000Z"
"SOL-PERP","buy","","0.9","96.209","limit","trade","0.22863","0.06927","2024-02-04T09:14:50.000Z"
"SOL-PERP","sell","","0.9","96.54","limit","trade","-0.069509","0.069509","2024-02-04T09:00:04.000Z"
"SOL-PERP","buy","","0.4","96.747","limit","trade","-0.124959","0.030959","2024-02-04T08:35:38.000Z"
