"Market","Side","Type","Size","Price","Order Type","Trade Type","PnL","Fees","Date Time"
"SOL-PERP","buy","","2","114.74","limit","trade","-0.149184","0.183584","2024-02-13T08:59:44.000Z"
"SOL-PERP","sell","","0.6","114.742","limit","trade","-0.055083","0.055083","2024-02-13T08:43:58.000Z"
"SOL-PERP","sell","","0.4","114.78","limit","trade","-0.036722","0.036722","2024-02-13T08:43:58.000Z"
"SOL-PERP","buy","","2.3","114.99","limit","trade","-2.412682","0.211582","2024-02-13T08:41:56.000Z"
"SOL-PERP","sell","","2.3","114.033","limit","trade","-0.209821","0.209821","2024-02-13T08:21:08.000Z"
"SOL-PERP","buy","","2","114.124","limit","trade","-0.418598","0.182598","2024-02-13T07:58:21.000Z"
"SOL-PERP","sell","","2","114.006","limit","trade","-0.18241","0.18241","2024-02-13T07:35:24.000Z"
"SOL-PERP","buy","","2.5","114.236","limit","trade","0.274028","0.228472","2024-02-13T07:23:08.000Z"
"SOL-PERP","sell","","2.5","114.437","limit","trade","-0.228874","0.228874","2024-02-13T07:08:29.000Z"
"SOL-PERP","buy","","2.2","113.986","limit","trade","0.586985","0.200615","2024-02-13T06:40:12.000Z"
"SOL-PERP","sell","","2.2","114.344","limit","trade","-0.201245","0.201245","2024-02-13T06:21:12.000Z"
"SOL-PERP","buy","","2.2","114.228","limit","trade","-0.526641","0.201041","2024-02-13T06:02:57.000Z"
"SOL-PERP","sell","","2.2","114.08","limit","trade","-0.200781","0.200781","2024-02-13T05:46:22.000Z"
"SOL-PERP","buy","","2.5","114.265","limit","trade","-0.77853","0.22853","2024-02-13T05:26:26.000Z"
"SOL-PERP","sell","","2.5","114.045","limit","trade","-0.22809","0.22809","2024-02-13T05:07:25.000Z"
"SOL-PERP","buy","","2.5","114.131","limit","trade","-0.268262","0.228262","2024-02-13T04:51:36.000Z"
"SOL-PERP","sell","","2.5","114.115","limit","trade","-0.22823","0.22823","2024-02-13T04:30:10.000Z"
"SOL-PERP","buy","","2.1","113.58","limit","trade","-0.331514","0.190814","2024-02-13T04:17:02.000Z"
"SOL-PERP","sell","","2.1","113.513","limit","trade","-0.190702","0.190702","2024-02-13T04:03:12.000Z"
"SOL-PERP","buy","","1","113.5","limit","trade","0.3912","0.0908","2024-02-13T03:46:14.000Z"
"SOL-PERP","sell","","1","113.982","limit","trade","-0.091186","0.091186","2024-02-13T03:26:09.000Z"
"SOL-PERP","buy","","1.7","113.945","limit","trade","-0.483065","0.154965","2024-02-13T03:13:00.000Z"
"SOL-PERP","sell","","1.7","113.752","limit","trade","-0.154703","0.154703","2024-02-13T02:53:44.000Z"
"SOL-PERP","buy","","1.2","114.237","limit","trade","0.197532","0.109668","2024-02-13T02:32:59.000Z"
"SOL-PERP","sell","","1.2","114.493","limit","trade","-0.109913","0.109913","2024-02-13T02:07:58.000Z"
"SOL-PERP","buy","","1.8","106.875","limit","trade","0.0729","0.1539","2024-02-09T23:56:22.000Z"
"SOL-PERP","sell","","1.8","107.001","limit","trade","-0.154081","0.154081","2024-02-09T23:31:22.000Z"
"SOL-PERP","buy","","1.1","108.1","limit","trade","0.290972","0.095128","2024-02-09T23:06:11.000Z"
"SOL-PERP","sell","","1.1","108.451","limit","trade","-0.095437","0.095437","2024-02-09T22:36:56.000Z"
"SOL-PERP","buy","","1.3","108.053","limit","trade","1.066731","0.112369","2024-02-09T22:14:41.000Z"
"SOL-PERP","buy","","0.5","108.036","limit","trade","0.418781","0.043219","2024-02-09T22:14:41.000Z"
"SOL-PERP","sell","","1.8","108.96","limit","trade","-0.156902","0.156902","2024-02-09T22:01:45.000Z"
"SOL-PERP","buy","","1.8","106.743","limit","trade","-3.06431","0.15371","2024-02-09T21:37:32.000Z"
"SOL-PERP","sell","","1.8","105.126","limit","trade","-0.151381","0.151381","2024-02-09T21:14:11.000Z"
"SOL-PERP","buy","","1.7","105.285","limit","trade","-0.466188","0.143188","2024-02-09T21:01:24.000Z"
"SOL-PERP","sell","","1.7","105.095","limit","trade","-0.142929","0.142929","2024-02-09T20:48:59.000Z"
"SOL-PERP","buy","","1","105.151","limit","trade","-0.030621","0.084121","2024-02-09T20:23:57.000Z"
"SOL-PERP","sell","","0.5","105.193","limit","trade","-0.042081","0.042081","2024-02-09T20:07:29.000Z"
"SOL-PERP","sell","","0.5","105.216","limit","trade","-0.042081","0.042081","2024-02-09T20:07:29.000Z"
"SOL-PERP","buy","","1.5","105.364","limit","trade","0.167563","0.126437","2024-02-09T19:25:40.000Z"
"SOL-PERP","sell","","1.5","105.56","limit","trade","-0.126672","0.126672","2024-02-09T18:56:41.000Z"
"SOL-PERP","buy","","1.3","106.489","limit","trade","-1.370449","0.110749","2024-02-09T18:39:00.000Z"
"SOL-PERP","sell","","1.3","105.52","limit","trade","-0.109741","0.109741","2024-02-09T18:10:33.000Z"
"SOL-PERP","buy","","1.8","105.086","limit","trade","0.320276","0.151324","2024-02-09T17:41:57.000Z"
