time,open,high,low,close,TD8,TD8,TD9,TD9,Small Bull Arrow,Small Bear Arrow,Big Bull Arrow,Big Bear Arrow,Overbought band,Oversold band,Caution,Danger
1764550800,87041.52,87759.86,87002.65,87202.03,,,,,0,0,0,0,92584.83040310189,88826.32988499566,,
1764554400,87196.28,87513.98,86507.76,86752.88,,,,,0,0,0,0,92897.55858707169,88165.76294892492,,
1764558000,86751.4,86817.88,86210.31,86372.44,1,,,,0,0,0,0,93166.0417768367,87549.0562939233,,
1764561600,86375.44,86375.44,85721.8,85834.42,,,1,,0,0,0,0,93336.38140217883,86922.09903127757,,
1764565200,85829.67,86040.63,85649.94,86036.24,,,,,0,0,0,0,93415.348874162,86365.3139710482,,
1764568800,86033.49,86377.91,86020.02,86283.66,,,,,0,0,0,0,93395.09144496705,85939.41977757872,,
1764572400,86290.84,86587.7,86099.03,86571.2,,,,,0,0,0,0,93311.18955992973,85572.4394148613,,
1764576000,86571.05,86918.2,86437.63,86909.6,,,,,0,0,0,0,93157.07016991553,85291.17125294553,,
1764579600,86905.85,86950.3,86561.23,86761.4,,,,,0,0,0,0,92912.54161452815,85067.4915777692,,
1764583200,86757.05,86840.98,86587.79,86681.83,,,,,0,0,0,0,92652.79883532642,84878.4233321179,,
1764586800,86681.97,86714.94,86171.28,86173.55,,,,,0,0,0,0,92383.35694620499,84681.74801918841,,
1764590400,86174.07,86237.3,84798.12,85448.98,,,,,0,0,0,0,92042.9311322998,84358.23235118613,,
1764594000,85434.19,86150.15,85374.48,86017.9,,,,,0,0,0,0,91654.5944285954,84174.78354077674,,
1764597600,86011.08,86675.29,85913.04,86086.37,,,,,0,0,0,0,91261.69984568722,84101.14974748126,,
1764601200,86087.63,86129.19,83871.2,84704.41,,,,,0,0,0,0,90824.39951629733,83843.53755890645,,
1764604800,84704.44,85469.6,84096.13,84575.71,,,,,0,0,0,0,90300.56709519215,83714.15092117916,,
1764608400,84579.42,85287.94,84497.95,84997.91,,,,,0,0,0,0,89751.78266667583,83726.52423662145,,
1764612000,85001.37,85566.39,84761.25,85252.85,1,,,,0,0,0,0,89078.01029046989,83962.01088985753,,
1764615600,85250.6,85316.3,84650.81,85043.59,,,,,0,0,0,0,88243.46059678152,84305.81909739622,,
1764619200,85052.82,85863.67,85046.56,85535.12,,,,,0,0,0,0,87373.78316794256,84269.86613003476,,
1764622800,85541.9,86516.24,85531.55,86474.75,,,,,0,0,0,0,87193.47772254643,84287.19704311105,,
1764626400,86474,86904.66,86341.29,86628.74,,,,,0,0,0,0,87088.89602588546,84292.61217215462,,
1764630000,86629.02,86868.7,86299.45,86330.09,,,,,0,0,0,0,87095.38433536017,84291.05954960018,,
1764633600,86329.34,86694.73,86230.52,86552.75,,,,,0,0,0,0,87121.86827058932,84296.11027341693,,
1764637200,86547.75,87373.4,86437.57,86486.56,,,,,0,0,0,0,87253.53639371031,84302.13939387939,,
1764640800,86488.11,86883.43,86322.98,86581.88,,,,,0,0,0,0,87294.53617036542,84302.04872446076,,
1764644400,86578.63,87120.91,86254.82,86999.58,,,,,0,0,0,0,87350.37931649436,84302.15229318272,,
1764648000,87001.42,87300.27,86957.11,87014.65,,,,,0,0,0,0,87400.3189602467,84280.91151096884,,
1764651600,87017.15,87147.84,86881.48,87048,,,,,0,0,0,0,87424.04851324047,84268.54211662592,,
1764655200,87042.77,87207.19,86917.93,87133.36,,,,,0,0,0,0,87465.91256900379,84255.9869281115,,
1764658800,87135.36,87151.54,86927.23,87048.08,,,,,0,0,0,0,87509.76897515223,84242.74624430606,,
1764662400,87052.08,87074.45,86409.28,86481.88,,,,,0,0,0,0,87564.67180827052,84341.02536719442,,
1764666000,86481.77,87006.88,86475.64,86796.86,,,,,0,0,0,0,87609.56595526502,84386.56508572875,,
1764669600,86788.88,87602.76,86785.62,87311.15,,,,,0,0,0,0,87708.98028993896,84397.73652063982,,
1764673200,87307.12,87619.61,87024.88,87402.33,,,,,0,0,0,0,87815.91753557598,84683.99602221316,,
1764676800,87403.08,87563.97,87253.69,87291.73,,,,,0,0,0,0,87870.05122452066,84964.13574289059,,
1764680400,87291.48,87896.11,87104.51,87751.57,,,,,0,0,0,0,87921.39661091761,85209.99810530314,,
1764684000,87753.82,89268.75,87643.58,89259.59,,,,,0,0,0,0,88259.60095794362,85413.66581289574,,
1764687600,89261.84,91194.6,89258.61,90893.46,,,,,0,0,0,0,89028.3605578684,85478.7758448341,,
1764691200,90900.46,91311.25,90236.96,90772.78,,,,,0,0,0,0,89655.66097836338,85400.65418503672,,
1764694800,90773.3,92003.52,90767.6,91491.97,,1,,,0,0,0,0,90338.10079432854,85306.11934399388,,
1764698400,91489.22,92260.85,91416.21,91971.5,,,,1,0,0,0,0,90957.23744340264,85150.10636523725,,
1764702000,91971.75,92327.68,91902.03,91926.72,,,,,0,0,0,0,91495.00914323475,85059.32405884795,,
1764705600,91927.24,91947.17,90778.37,91094.42,,,,,0,0,0,0,91890.66427701354,85169.84819094368,,
1764709200,91078.45,91661.61,91016.85,91622.2,,,,,0,0,0,0,92203.3592706858,85286.7924656778,,
1764712800,91621.48,92002.85,91573.54,91995.96,,,,,0,0,0,0,92519.05798291085,85430.71433521478,,
1764716400,91997.87,92007.5,91315.66,91325.39,,,,,0,0,0,0,92798.09868369579,85650.43015615264,,
1764720000,91323.64,91768.34,91045.45,91676.55,,,,,0,0,0,0,93013.13235577542,85830.06396017304,,
1764723600,91679.8,92480.44,91511.07,92258.25,,,,,0,0,0,0,93276.06531829605,86037.53203266629,,
1764727200,92265.75,93048.8,92203.68,92832.63,,,,,0,0,0,0,93570.94586729874,86252.73890085192,,
1764730800,92834.68,93081.75,92615.53,92684.8,,,,,0,0,0,0,93808.18140423439,86497.82131663329,,
1764734400,92674.67,93448.83,92665.18,93374.5,,,,,0,0,0,0,94025.14997024598,86884.95674695596,,
1764738000,93367.66,93660.2,93143.58,93656.07,,,,,0,0,0,0,94184.84243347932,87312.01961075644,,
1764741600,93656.07,93968.9,93172.02,93450.08,,,,,0,0,0,0,94359.89252341354,87762.24070004401,,
1764745200,93449.08,93478.2,92895.61,93019.08,,1,,,0,0,0,0,94378.15493695436,88259.41086019886,,
1764748800,93019.54,93201.77,92720.11,92785.39,,,,,0,0,0,0,94233.6362252185,88800.80247126924,,
1764752400,92777.89,93226.6,92750.05,93208.02,,,,,0,0,0,0,93961.83280024742,89497.7223155583,,
1764756000,93204.53,93404.13,92901.98,92945.14,,,,,0,0,0,0,93793.43841259307,90215.98689009919,,
1764759600,92952.92,93093.01,92717.64,93029.19,,,,,0,0,0,0,93801.55169112056,90626.99902631369,,
1764763200,93023.69,93107.37,92728.37,92960.03,,,,,0,0,0,0,93797.38821944209,90871.3087319196,,
1764766800,92953.03,93277.72,92932.75,93159.64,,,,,0,0,0,0,93840.15108285891,91040.12776022172,,
1764770400,93160.91,93692.38,91748.04,92407.73,,,,,0,0,0,0,93930.25847060035,91077.0552103212,,
1764774000,92405.94,92995.65,91968.61,92380.82,,,,,0,0,0,0,93945.41344157596,91082.24689290197,,
1764777600,92400.07,92752.41,91828.43,92263.46,,,,,0,0,0,0,93930.97784162176,91237.26662564254,,
1764781200,92262.41,93043.23,92222.9,92993.65,,,,,0,0,0,0,93888.707692821,91391.3080937898,,
1764784800,92997.65,93508.74,92394.88,92612.05,,,,,0,0,0,0,93898.02277208239,91469.33996893979,,
1764788400,92612.38,93091.27,92562.86,93026,,,,,0,0,0,0,93854.59329587188,91607.11135996251,,
1764792000,93026.86,93402.64,92852.1,92979.94,,,,,0,0,0,0,93742.99841501814,91840.33790712197,,
1764795600,92976.16,93779,92890.53,93726.96,,,,,1,0,0,0,93761.14863110594,91996.31732610195,0,0
1764799200,93718.12,94213.1,93325.98,93817.73,,,,,0,0,0,0,93897.03881360899,92023.42844105438,0,0
1764802800,93813.13,94098.63,93429.22,93460.19,,,,,0,0,0,0,93988.41226093075,92015.02207082004,0,0
1764806400,93459.51,93491.1,92713.62,93075.08,,,,,0,0,0,0,93990.9179924896,92017.47908422835,1,1
1764810000,93072.97,93764.87,93035.59,93213.58,,,,,0,0,0,0,94002.05637645088,92019.24233056052,0,0
1764813600,93213.85,94032.85,93164.58,93964.41,,,,,0,0,0,0,94012.36910232186,92019.46860446218,0,0
1764817200,93961.18,94068.26,93436.71,93546.02,,,,,0,0,0,0,94078.04854745089,92005.64722019897,0,0
1764820800,93548.52,93592.87,93262.65,93356.68,,,,,0,0,0,0,94092.24345758071,92010.65157977148,,0
1764824400,93356.68,93373,92805.22,92992.1,,,,,0,0,0,0,94094.53385844833,92013.13160777598,,
1764828000,92992.1,93383.55,92882.68,93157.46,,,,,0,0,0,0,94093.86711881685,92012.60122128057,,
1764831600,93162.23,93427.77,92936.65,93416.21,,,,,0,0,0,0,94095.74741269772,92020.98321915492,,
1764835200,93416.48,93594.1,93090.78,93249.14,,,,,0,0,0,0,94104.47209749925,92031.1385517044,,
1764838800,93261.92,93616.31,93259.93,93479.16,,,,,0,0,0,0,94115.37095440416,92032.10754887783,,
1764842400,93480.91,93573.08,93186.57,93272.23,,,,,0,0,0,0,94107.28902738953,92185.00877069964,,
1764846000,93272.44,93303.99,92773.19,92948.66,,,,,0,0,0,0,94097.8174534564,92297.45423814205,,
1764849600,92948.16,93186.05,92799.88,93001.85,,,,,0,0,0,0,94062.81619993506,92469.2210881067,,
1764853200,93003.45,93057.32,92443.26,92549.22,,,,,0,1,0,0,94061.79638591458,92513.45787923328,0,0
1764856800,92540.22,92834.25,91849.98,91907.95,,,,,0,0,0,1,94085.72835452843,92384.82256670033,0,0
1764860400,91915.22,93252.76,91911.72,93033.33,,,,,0,0,0,0,94081.03039671847,92267.99271015426,0,0
1764864000,93021.57,93187.35,92311.18,92470.64,,,,,0,0,0,0,94081.6810837393,92212.12357278037,0,0
1764867600,92461.67,92552.5,91801.68,92456.31,,,,,0,0,0,0,94102.2935021705,92070.66015517281,0,0
1764871200,92434.54,92572.63,91997.39,92142.07,,,,,0,0,0,0,94033.85940621351,91979.51003459073,1,0
1764874800,92144.79,92179.33,90933.13,92009.91,,,,,0,0,0,0,94005.98397937702,91687.57968824073,0,0
1764878400,92001.47,92540.08,91714.25,92520.04,,,,,0,0,0,0,93997.31461068435,91592.06913693242,0,0
1764882000,92513.99,92716.31,92120.49,92171.61,,,,,0,0,0,0,93942.9529573078,91548.51217843956,,1
1764885600,92179.98,92497.99,92179.98,92378.94,,,,,0,0,0,0,93842.14126053354,91517.75184290441,,
1764889200,92370.24,92469.88,92107.72,92110.04,,,,,0,0,0,0,93714.58351408484,91502.20094209499,,
1764892800,92116.33,92492.7,92104.14,92315.05,,,,,0,0,0,0,93654.98364379222,91487.08913024035,,
1764896400,92309.83,92624.63,92272.65,92389.23,,,,,0,0,0,0,93614.13804406751,91473.7155529163,,
1764900000,92388.98,92705.36,92288.54,92545.56,,,,,0,0,0,0,93567.6098908306,91464.98141258309,,
1764903600,92554.83,92672.3,91991.93,92163.99,,,,,0,0,0,0,93509.90729410836,91441.34954586528,,
1764907200,92167.79,92397.55,91842.3,92036.25,,,,,0,0,0,0,93418.3735275785,91421.51259321971,,
1764910800,92038.25,92207.05,91917.15,91943.79,,,,,0,0,0,0,93313.63947308072,91443.0250886033,,
1764914400,91957.67,92294.05,91944.85,92288.76,,,,,0,0,0,0,93191.87424634524,91484.61035785607,,
1764918000,92285.09,92507.5,92240.11,92267.9,,,,,0,0,0,0,93107.7693250449,91506.98943245939,,
1764921600,92278,92278,91953.62,92125.99,,,,,0,0,0,0,93037.89745412566,91533.46932993448,,
1764925200,92124.79,92130.55,91014.18,91151.88,,,,,0,0,0,1,92987.92574130463,91387.47876804757,,
1764928800,91148.15,91496.41,91127.52,91303.93,,,,,0,0,0,0,93031.23416581808,91291.46538157023,,
1764932400,91311.34,91555.3,91123.56,91369.57,,,,,0,0,0,0,92961.04564983812,91201.99044513582,,
1764936000,91360.82,91423.98,91110.45,91259.07,,,,,0,0,0,0,92891.82568811094,91119.69821374206,,
1764939600,91254.77,91362.48,90287.69,90504.7,,,,,0,0,0,0,92904.17228258445,90883.46545563209,,
1764943200,90500.73,90762.13,89907.3,90294.83,,,,,0,0,0,0,92966.48451120568,90597.8861398108,,
1764946800,90296.11,91476.55,90147.13,90468.06,,,,,0,0,0,0,92962.3551411492,90470.65228862097,,
1764950400,90465.92,90492.36,88121.56,88862.28,1,,,,0,0,0,0,93003.53591168935,89818.2741365596,,
1764954000,88853.87,89523.82,88662.38,89361.88,,,1,,0,0,0,0,93112.04449910842,89433.82092585844,,
1764957600,89361.16,89834.75,88952.1,88971.81,,,,,0,0,0,0,93123.59897276631,89159.8176465135,,
1764961200,88973.53,89834.65,88874.09,89686.29,,,,,0,0,0,0,93098.21672966807,88907.42403619953,,
1764964800,89681.6,89760.13,89243.38,89329.18,,,,,0,0,0,0,93043.44513681112,88740.41275664259,,
1764968400,89328.23,89493.5,89109.91,89198.81,,,,,0,0,0,0,92958.89876447868,88585.68044843047,,
1764972000,89197.2,89376.03,88950.14,89284.43,,,,,0,0,0,0,92834.27414998607,88439.41276451426,,
1764975600,89273.52,89379.1,88979.89,89351.17,,,,,0,0,0,0,92677.46984309613,88311.99686725311,,
1764979200,89347.92,89454.64,89086.68,89448.43,,,,,0,0,0,0,92526.34770488643,88215.36870075726,,
1764982800,89448.43,89487.23,89226.41,89332.55,,,,,0,0,0,0,92375.30208988213,88161.47326335844,,
1764986400,89333.61,89399.63,89203.18,89390.7,,,,,0,0,0,0,92186.7564407215,88134.78472349369,,
1764990000,89390.95,89786.97,89390.95,89702.77,,,,,0,0,0,0,91921.37797265794,88192.91982188694,,
1764993600,89703.11,89714.43,89546.21,89681.1,,,,,0,0,0,0,91664.17107555864,88278.66695767257,,
1764997200,89681.37,89739.55,89565.25,89625.69,,,,,0,0,0,0,91398.65473472088,88298.36292034265,,
1765000800,89624.69,89755.5,89566.84,89704.74,,,,,0,0,0,0,91228.99972425263,88348.90040975681,,
1765004400,89704.24,89720.22,89483.74,89615.45,,,,,0,0,0,0,91023.17617656042,88427.6714894448,,
1765008000,89617.33,89651.33,89239.88,89300.86,,,,,0,0,0,0,90813.05457137454,88548.41004587506,,
1765011600,89300.14,89675.25,89290.62,89609.38,,,,,0,0,0,0,90579.01132270829,88586.48415149553,,
1765015200,89611.28,89679.54,89499.27,89525.26,,,,,0,0,0,0,90452.50204500972,88601.89997084427,,
1765018800,89525.54,89729.36,89519.43,89645.46,,,,,0,0,0,0,90033.93474216395,88650.75999089172,,
1765022400,89646.96,89653.09,89597.22,89604.77,,,,,0,0,0,0,89856.23365711034,88851.6149900588,,
1765026000,89603.05,89792.19,89602.02,89685.16,,,,,0,0,0,0,89872.18214816204,88937.92556193487,,
1765029600,89684.16,90286.68,89675.25,90031.11,,,,,0,0,1,0,89972.194525101,88974.256566604,,
1765033200,90031.36,90049.72,89524.53,89777.74,,,,,0,0,0,0,90003.62111122784,89038.7324518493,,
1765036800,89775.49,89994.35,89706.25,89728.49,,,,,0,0,0,0,90030.58287781553,89046.56373022171,,
1765040400,89727.77,89829.61,89652.44,89725.14,,,,,0,0,0,0,90043.15816432827,89077.38561643322,,
1765044000,89734.96,89784.57,89579.71,89652,,,,,0,0,0,0,90044.16464753498,89145.68909931534,,
1765047600,89657.75,89762.88,89280.47,89433.37,,,,,0,0,0,0,90039.68501140382,89199.63388391049,,
1765051200,89436.37,89575.75,89336.9,89564.69,,,,,0,0,0,0,90034.56689940464,89241.27991325386,,
1765054800,89561.46,89619.14,89439.43,89455.1,,,,,0,0,0,0,90030.20838770324,89267.54271256103,,
1765058400,89453.2,89536.96,89281,89311.3,,,,,0,1,0,0,90019.63875218948,89281.52581571565,0,0
1765062000,89314.41,89339.23,88966,89259.27,,,,,0,0,0,0,90033.08274931178,89199.94012931119,0,0
1765065600,89257.98,89562.28,89215.79,89442.53,,,,,0,0,0,0,90031.480390169,89172.7498127556,0,0
1765069200,89441.8,89581.42,89336.41,89339.12,1,,,,0,0,0,0,90027.91484509333,89161.81224208012,1,0
1765072800,89337.37,89684.01,89337.09,89648.08,,,,,0,0,0,0,90024.53965527989,89152.00883655391,,0
1765076400,89636.94,89758.22,89579.91,89734.25,,,,,0,0,0,0,90026.62381073652,89152.87886869855,,0
1765080000,89739.27,89787.14,89522.48,89565.63,,,,,0,0,0,0,90032.82987837927,89173.77199922658,,1
1765083600,89566.13,89578.5,89460.42,89526.99,,,,,0,0,0,0,90031.78546766369,89187.61425598068,,
1765087200,89521.48,89706.04,89510.77,89704.02,,,,,0,0,0,0,90032.74463246275,89187.95217047866,,
1765090800,89706.71,89741.49,89248.31,89385.99,,,,,0,0,0,0,90033.37174535653,89167.04539708074,,
1765094400,89389.04,89528.47,89239.48,89338.95,,,,,0,0,0,0,90033.44303409746,89146.92908578615,,
1765098000,89337.56,89404.3,89092.33,89128.49,,,,,0,0,0,0,90030.17487862008,89108.37378270386,,
1765101600,89131.74,89397.7,89131.74,89278.14,,,,,0,0,0,0,89932.40163515463,89084.97170220905,,
1765105200,89273.14,89288.07,89193.13,89197,,,,,0,0,0,0,89885.7034721968,89067.75858482788,,
1765108800,89191.25,89587.94,89156.45,89492.38,,,,,0,0,0,0,89832.2631337228,89060.21854505205,,
1765112400,89496.39,89524.38,88662.27,89059.24,,,,,0,0,0,0,89804.39985481669,88955.67403174902,,
1765116000,89062.22,89103.7,87784.33,88258.03,,,,,0,0,0,1,89811.10563457357,88616.85778314836,,
1765119600,88239.1,89729.59,88202.76,89573.45,,,,,0,0,0,0,89806.61104453029,88479.92189730752,,
1765123200,89563.01,89903.6,89157.27,89899.84,,,,,0,0,0,0,89847.80815248963,88474.55202988692,,
1765126800,89901.87,91270.45,89654.87,90990.98,,,,,0,0,0,0,90274.06948520229,88470.02722177473,,
1765130400,90991.73,91760.92,90991.71,91385.99,,,,,0,0,0,0,90689.40855869032,88320.6709267951,,
1765134000,91390.24,91543.22,91256.69,91410.09,,,,,0,0,0,0,90953.6859211059,88222.49421648741,,
1765137600,91415.12,91513.63,91347.17,91442.82,,,,,0,0,0,0,91169.98462293846,88151.38208968217,,
1765141200,91450.06,91450.9,89903.18,90257.95,,,,,0,0,0,0,91348.04690182343,88171.73268190266,,
1765144800,90247.18,90247.85,89019.71,89630.87,,,,,0,0,0,0,91370.7336865842,88148.05099297363,,
1765148400,89627.62,90479.3,89564.96,90428.85,,,,,0,0,0,0,91407.38529290848,88147.45405617885,,
1765152000,90419.1,90607.35,89893.55,90394.33,,,,,0,0,0,0,91451.95054669557,88158.24892082669,,
1765155600,90382.38,91706.77,90339.25,90925.16,,,,,0,0,0,0,91634.63911337874,88172.14268817441,,
1765159200,90924.39,91443.85,90833.59,91393.96,,,,,0,0,0,0,91757.9494757512,88171.19622566526,,
1765162800,91383.96,91432.45,91009.01,91096.95,,,,,0,0,0,0,91867.21420702919,88190.63663219207,,
1765166400,91092.63,91474.16,91049.63,91293.16,,,,,0,0,0,0,91965.49203557572,88223.46836923796,,
1765170000,91280.16,91445.82,91068.96,91338.54,,,,,0,0,0,0,92039.92518176456,88283.89675562836,,
1765173600,91342.56,91649.65,91267.14,91468.57,,,,,0,0,0,0,92119.7586470609,88347.82954326142,,
1765177200,91466.24,91879.79,91379.55,91568.17,,,,,0,0,0,0,92197.15577934236,88417.56415702445,,
1765180800,91578.64,91939.88,91506.29,91852.25,,1,,,0,0,0,0,92277.30769167263,88504.19736732513,,
1765184400,91839.42,92285.14,91813.88,91932.02,,,,1,0,0,0,0,92373.22986261448,88669.20028542816,,
1765188000,91932.49,92217.67,91847.32,92146,,,,,0,0,0,0,92357.2690387433,89055.58103297427,,
1765191600,92146,92188.18,91893.48,91976.72,,,,,0,0,0,0,92369.40471247671,89416.44774911217,,
1765195200,91975.72,91999.66,91679.55,91782.71,,,,,0,0,0,0,92333.65352114172,89627.7466112955,,
1765198800,91779.68,92122.1,91336.91,91448.02,,,,,0,0,0,0,92393.64140474083,89776.52125410317,,
1765202400,91447.42,91759.61,90779.46,90876.56,,,,,0,0,0,0,92393.5417733623,89764.70513931205,,
1765206000,90866.87,90994.95,89634.45,89989.15,,,,,0,0,0,0,92387.30148283961,89615.15910904415,,
1765209600,89976.95,90484.2,89713.92,89977.91,,,,,0,0,0,0,92403.95075085477,89491.78219927513,,
1765213200,89982.41,90351.35,89721.94,90265.71,,,,,0,0,0,0,92422.12680604898,89467.58202437866,,
1765216800,90265.21,90527.54,89743.88,89914.73,,,,,0,0,0,0,92401.87915223217,89594.96742090044,,
1765220400,89925.08,90369.87,89884.77,90127.79,,,,,0,0,0,0,92409.52962193394,89643.75331378348,,
1765224000,90143.29,90943.07,90143.29,90827.19,,,,,0,0,0,0,92399.45268375464,89675.6955534137,,
1765227600,90826.41,91395.03,90716.96,91346.48,,,,,0,0,0,0,92380.20046142957,89706.162100464,,
1765231200,91342.18,91383.9,90759.27,90837.42,,,,,0,0,0,0,92377.41806917392,89702.05981224903,,
1765234800,90857.67,91017.34,90496.87,90655.24,,,,,0,0,0,0,92366.93902895553,89672.34859961605,,
1765238400,90653.99,90856.49,90387.08,90416.75,,,,,0,0,0,0,92353.5814821943,89633.5964374629,,
1765242000,90416.25,90584.97,89980.88,90075.63,,,,,0,0,0,0,92345.4697043952,89554.3840286055,,
1765245600,90091.15,90383.6,90013.91,90087.5,,,,,0,0,0,0,92323.99938910954,89484.27949289272,,
1765249200,90086.13,90461.32,89840.58,90431.25,,,,,0,0,0,0,92265.00899201524,89403.96120734647,,
1765252800,90437.47,90515.56,89771.21,89936.9,,,,,0,0,0,0,92186.14206690167,89331.62017499443,,
1765256400,89930.59,90206.93,89550.91,89916.8,,,,,0,0,0,0,92046.7137003155,89269.5713739024,,
1765260000,89920.54,90233.7,89808.65,90188.98,,,,,0,0,0,0,91893.59874614673,89271.06417672709,,
1765263600,90187.96,90542.63,90116.86,90511.04,,,,,0,0,0,0,91715.87651839243,89342.86618718973,,
1765267200,90512.06,90631.14,90407.13,90520.31,,,,,0,0,0,0,91554.04609896727,89438.81880011634,,
1765270800,90523.47,90526.28,90183.41,90186.13,,,,,0,0,0,0,91324.64513752518,89513.59830660348,,
1765274400,90186.13,90368.96,89963.65,90312.01,,,,,0,0,0,0,91146.34342536052,89525.0611580842,,
1765278000,90318.26,90422.41,90193.63,90421.06,,,,,0,0,0,0,91106.93206829387,89570.5900983264,,
1765281600,90417.66,90715.17,90375.91,90625.18,,,,,0,0,0,0,91117.62154502112,89609.92910786349,,
1765285200,90627.7,90864.57,90205.64,90442.45,,,,,0,0,0,0,91140.15925798778,89651.10799049927,,
1765288800,90453.2,90644.69,90054.7,90367.65,,,,,0,0,0,0,91144.29252528276,89684.2864717977,,
1765292400,90373.95,92878.22,90323.58,92714.44,,,,,0,0,0,0,91646.79900092204,89711.59478303851,,
1765296000,92724.05,94489.45,92717.81,94209.77,,,,,0,0,0,0,92448.98381811882,89344.07007250977,,
1765299600,94212.8,94625.59,93555.35,93909.75,,,,,0,0,0,0,93031.56496428256,89009.58750659555,,
1765303200,93924.2,94179.03,93677.5,93937.45,,,,,0,0,0,0,93417.38442440704,88804.85003895365,,
1765306800,93947.96,94223.43,93668.27,93811.93,,1,,,0,0,0,0,93782.2191044111,88697.68997449796,,
1765310400,93812.32,93840.27,92786.11,93107.82,,,,,0,0,0,0,94049.96793229108,88716.17982667332,,
1765314000,93123.87,93246.4,92279.95,92681.41,,,,,0,0,0,0,94216.8436602499,88805.56685444468,,
1765317600,92676,93040.57,92521.73,92895.99,,,,,0,0,0,0,94343.23429976252,88901.19716158295,,
