"Market","Side","Type","Size","Price","Order Type","Trade Type","PnL","Fees","Date Time"
"SOL-PERP","sell","","0.6","96.924","limit","trade","-0.046524","0.046524","2024-02-04T18:38:53.000Z"
"SOL-PERP","buy","","0.7","96.893","limit","trade","0.07244","0.05426","2024-02-04T18:23:46.000Z"
"SOL-PERP","sell","","0.7","97.074","limit","trade","-0.054361","0.054361","2024-02-04T18:12:14.000Z"
"SOL-PERP","buy","","0.4","97.38","limit","trade","-0.125962","0.031162","2024-02-04T17:48:50.000Z"
"SOL-PERP","sell","","0.4","97.143","limit","trade","-0.031086","0.031086","2024-02-04T17:29:07.000Z"
"SOL-PERP","buy","","0.4","97.527","limit","trade","-0.120009","0.031209","2024-02-04T17:07:19.000Z"
"SOL-PERP","sell","","0.4","97.305","limit","trade","-0.031138","0.031138","2024-02-04T16:53:24.000Z"
"SOL-PERP","buy","","0.5","97.672","limit","trade","-0.105069","0.039069","2024-02-04T16:06:47.000Z"
"SOL-PERP","sell","","0.5","97.54","limit","trade","-0.039016","0.039016","2024-02-04T15:53:05.000Z"
"SOL-PERP","buy","","0.5","97.55","limit","trade","-0.06552","0.03902","2024-02-04T15:37:31.000Z"
"SOL-PERP","sell","","0.5","97.497","limit","trade","-0.038999","0.038999","2024-02-04T15:18:00.000Z"
"SOL-PERP","buy","","0.4","97.555","limit","trade","0.170382","0.031218","2024-02-04T14:54:40.000Z"
"SOL-PERP","sell","","0.4","98.059","limit","trade","-0.031379","0.031379","2024-02-04T14:29:00.000Z"
"SOL-PERP","buy","","0.5","97.979","limit","trade","-0.140192","0.039192","2024-02-04T14:15:07.000Z"
"SOL-PERP","sell","","0.5","97.777","limit","trade","-0.039111","0.039111","2024-02-04T14:02:04.000Z"
"SOL-PERP","buy","","0.3","97.803","limit","trade","-0.034273","0.023473","2024-02-04T13:39:36.000Z"
"SOL-PERP","sell","","0.3","97.767","limit","trade","-0.023464","0.023464","2024-02-04T13:16:59.000Z"
"SOL-PERP","buy","","0.4","97.962","limit","trade","-0.008948","0.031348","2024-02-04T12:53:15.000Z"
"SOL-PERP","sell","","0.4","98.018","limit","trade","-0.031366","0.031366","2024-02-04T12:33:04.000Z"
"SOL-PERP","buy","","0.3","98.102","limit","trade","-0.076944","0.023544","2024-02-04T12:11:43.000Z"
"SOL-PERP","sell","","0.3","97.924","limit","trade","-0.023502","0.023502","2024-02-04T11:49:49.000Z"
"SOL-PERP","buy","","0.5","97.593","limit","trade","-0.259537","0.039037","2024-02-04T11:27:27.000Z"
"SOL-PERP","sell","","0.5","97.152","limit","trade","-0.038861","0.038861","2024-02-04T11:08:38.000Z"
"SOL-PERP","buy","","0.2","97.051","limit","trade","0.014272","0.015528","2024-02-04T10:46:55.000Z"
"SOL-PERP","buy","","0.2","97.05","limit","trade","0.014472","0.015528","2024-02-04T10:46:55.000Z"
"SOL-PERP","sell","","0.4","97.2","limit","trade","-0.031104","0.031104","2024-02-04T10:31:50.000Z"
"SOL-PERP","buy","","0.4","97.201","limit","trade","-0.058304","0.031104","2024-02-04T10:17:30.000Z"
"SOL-PERP","sell","","0.4","97.133","limit","trade","-0.031083","0.031083","2024-02-04T10:03:41.000Z"
"SOL-PERP","buy","","0.6","96.321","limit","trade","0.061766","0.046234","2024-02-04T09:11:11.000Z"
"SOL-PERP","sell","","0.6","96.501","limit","trade","-0.04632","0.04632","2024-02-04T08:55:28.000Z"
"SOL-PERP","buy","","0.5","96.621","limit","trade","-0.129648","0.038648","2024-02-04T08:31:24.000Z"
"SOL-PERP","sell","","0.5","96.439","limit","trade","-0.038576","0.038576","2024-02-04T08:18:47.000Z"
"SOL-PERP","buy","","0.8","100.449","limit","trade","0.230913","0.064287","2024-02-02T08:41:10.000Z"
"SOL-PERP","sell","","0.8","100.818","limit","trade","-0.064524","0.064524","2024-02-02T08:19:22.000Z"
"SOL-PERP","buy","","0.2","101.207","limit","trade","-0.088893","0.016193","2024-02-02T08:07:26.000Z"
"SOL-PERP","buy","","0.4","101.206","limit","trade","-0.177386","0.032386","2024-02-02T08:07:26.000Z"
"SOL-PERP","sell","","0.3","100.843","limit","trade","-0.024202","0.024202","2024-02-02T07:49:32.000Z"
"SOL-PERP","sell","","0.3","100.844","limit","trade","-0.024202","0.024202","2024-02-02T07:49:32.000Z"
"SOL-PERP","buy","","0.4","100.329","limit","trade","0.065095","0.032105","2024-02-02T07:25:05.000Z"
"SOL-PERP","sell","","0.4","100.572","limit","trade","-0.032183","0.032183","2024-02-02T07:10:16.000Z"
"SOL-PERP","buy","","0.4","100.228","limit","trade","-0.220065","0.032065","2024-02-02T06:57:05.000Z"
"SOL-PERP","buy","","0.5","100.186","limit","trade","-0.254081","0.040081","2024-02-02T06:57:05.000Z"
"SOL-PERP","sell","","0.9","99.758","limit","trade","-0.071826","0.071826","2024-02-02T06:32:19.000Z"
"SOL-PERP","buy","","1","99.487","limit","trade","-0.26259","0.07959","2024-02-02T06:16:58.000Z"
"SOL-PERP","sell","","1","99.304","limit","trade","-0.079443","0.079443","2024-02-02T06:00:47.000Z"
"SOL-PERP","buy","","0.4","98.73","limit","trade","-0.062794","0.031594","2024-02-02T05:35:51.000Z"
"SOL-PERP","sell","","0.4","98.652","limit","trade","-0.031569","0.031569","2024-02-02T05:14:59.000Z"
"SOL-PERP","buy","","0.7","99.145","limit","trade","-0.119822","0.055521","2024-02-02T04:58:53.000Z"
"SOL-PERP","sell","","0.2","99.041","limit","trade","-0.015848","0.015848","2024-02-02T04:40:35.000Z"
"SOL-PERP","sell","","0.5","99.058","limit","trade","-0.039621","0.039621","2024-02-02T04:40:35.000Z"
"SOL-PERP","buy","","0.4","98.912","limit","trade","-0.009252","0.031652","2024-02-02T04:19:12.000Z"
"SOL-PERP","sell","","0.4","98.968","limit","trade","-0.03167","0.03167","2024-02-02T04:04:58.000Z"
"SOL-PERP","buy","","0.4","98.938","limit","trade","0.13954","0.03166","2024-02-02T04:04:04.000Z"
"SOL-PERP","sell","","0.4","99.366","limit","trade","-0.031797","0.031797","2024-02-02T03:14:42.000Z"
"SOL-PERP","buy","","0.6","99.491","limit","trade","-0.298556","0.047756","2024-02-02T03:13:07.000Z"
