"Market","Side","Type","Size","Price","Order Type","Trade Type","PnL","Fees","Date Time"
"SOL-PERP","buy","","1.7","105.493","limit","trade","-1.14937","0.14347","2024-02-09T07:37:55.000Z"
"SOL-PERP","sell","","1.2","104.901","limit","trade","-0.100705","0.100705","2024-02-09T07:16:46.000Z"
"SOL-PERP","sell","","0.5","104.902","limit","trade","-0.04196","0.04196","2024-02-09T07:16:46.000Z"
"SOL-PERP","buy","","1.1","104.819","limit","trade","-0.418941","0.092241","2024-02-09T06:57:32.000Z"
"SOL-PERP","sell","","1.1","104.522","limit","trade","-0.091979","0.091979","2024-02-09T06:43:33.000Z"
"SOL-PERP","buy","","1.7","104.666","limit","trade","0.036154","0.142346","2024-02-09T06:22:01.000Z"
"SOL-PERP","sell","","1.7","104.771","limit","trade","-0.142489","0.142489","2024-02-09T06:08:42.000Z"
"SOL-PERP","buy","","1.2","104.844","limit","trade","-0.37425","0.10065","2024-02-09T05:40:54.000Z"
"SOL-PERP","sell","","1.2","104.616","limit","trade","-0.100431","0.100431","2024-02-09T05:28:40.000Z"
"SOL-PERP","buy","","1.2","104.602","limit","trade","-0.382418","0.100418","2024-02-09T05:27:50.000Z"
"SOL-PERP","sell","","1.2","104.367","limit","trade","-0.100192","0.100192","2024-02-09T05:05:02.000Z"
"SOL-PERP","buy","","1.3","104.362","limit","trade","-0.368536","0.108536","2024-02-09T04:48:08.000Z"
"SOL-PERP","sell","","1.3","104.162","limit","trade","-0.108328","0.108328","2024-02-09T04:31:50.000Z"
"SOL-PERP","buy","","1.2","104.649","limit","trade","-0.480863","0.100463","2024-02-09T04:06:53.000Z"
"SOL-PERP","sell","","1.2","104.332","limit","trade","-0.100159","0.100159","2024-02-09T03:54:15.000Z"
"SOL-PERP","buy","","1.7","104.989","limit","trade","0.268615","0.142785","2024-02-09T03:34:06.000Z"
"SOL-PERP","sell","","1.7","105.231","limit","trade","-0.143114","0.143114","2024-02-09T03:16:13.000Z"
"SOL-PERP","buy","","1","105.685","limit","trade","-1.465548","0.084548","2024-02-09T03:04:41.000Z"
"SOL-PERP","sell","","1","104.304","limit","trade","-0.083443","0.083443","2024-02-09T02:34:31.000Z"
"SOL-PERP","buy","","1.8","104.488","limit","trade","-1.457263","0.150463","2024-02-09T02:20:01.000Z"
"SOL-PERP","sell","","1.8","103.762","limit","trade","-0.149417","0.149417","2024-02-09T01:56:00.000Z"
"SOL-PERP","buy","","2.8","103.623","limit","trade","-1.329716","0.232116","2024-02-09T01:35:43.000Z"
"SOL-PERP","sell","","2.8","103.231","limit","trade","-0.231237","0.231237","2024-02-09T01:05:25.000Z"
"SOL-PERP","buy","","1.5","103.336","limit","trade","0.012497","0.124003","2024-02-09T00:51:32.000Z"
"SOL-PERP","sell","","1.5","103.427","limit","trade","-0.124112","0.124112","2024-02-09T00:29:21.000Z"
"SOL-PERP","buy","","1.3","103.125","limit","trade","-0.35815","0.10725","2024-02-09T00:12:05.000Z"
"SOL-PERP","sell","","1.3","102.932","limit","trade","-0.107049","0.107049","2024-02-08T23:43:52.000Z"
"SOL-PERP","buy","","1.9","103.051","limit","trade","-0.880538","0.156638","2024-02-08T23:19:57.000Z"
"SOL-PERP","sell","","1.9","102.67","limit","trade","-0.156058","0.156058","2024-02-08T23:00:10.000Z"
"SOL-PERP","buy","","2.1","102.571","limit","trade","-0.180719","0.172319","2024-02-08T22:36:06.000Z"
"SOL-PERP","sell","","2.1","102.567","limit","trade","-0.172313","0.172313","2024-02-08T22:08:09.000Z"
"SOL-PERP","buy","","1.3","103.09","limit","trade","-0.022714","0.107214","2024-02-08T21:42:09.000Z"
