"Market","Side","Type","Size","Price","Order Type","Trade Type","PnL","Fees","Date Time"
"SOL-PERP","buy","","0.3","96.254","limit","trade","-0.054301","0.023101","2024-02-01T11:04:33.000Z"
"SOL-PERP","sell","","0.3","96.15","limit","trade","-0.023076","0.023076","2024-02-01T10:50:57.000Z"
"SOL-PERP","buy","","0.4","96.445","limit","trade","-0.011262","0.030862","2024-02-01T10:38:54.000Z"
"SOL-PERP","sell","","0.4","96.494","limit","trade","-0.030878","0.030878","2024-02-01T10:24:31.000Z"
"SOL-PERP","buy","","0.2","95.909","limit","trade","-0.038343","0.015343","2024-02-01T10:10:19.000Z"
"SOL-PERP","buy","","0.5","95.889","limit","trade","-0.085857","0.038357","2024-02-01T10:10:19.000Z"
"SOL-PERP","sell","","0.7","95.794","limit","trade","-0.053645","0.053645","2024-02-01T09:57:51.000Z"
"SOL-PERP","buy","","0.4","95.563","limit","trade","-0.315509","0.030575","2024-02-01T07:39:34.000Z"
"SOL-PERP","buy","","0.5","95.538","limit","trade","-0.381886","0.038219","2024-02-01T07:39:34.000Z"
"SOL-PERP","sell","","0.3","94.84","limit","trade","-0.022764","0.022764","2024-02-01T07:17:16.000Z"
"SOL-PERP","sell","","0.6","94.856","limit","trade","-0.045528","0.045528","2024-02-01T07:17:16.000Z"
"SOL-PERP","buy","","0.4","94.618","limit","trade","0.020922","0.030278","2024-02-01T06:54:29.000Z"
"SOL-PERP","sell","","0.4","94.746","limit","trade","-0.030319","0.030319","2024-02-01T06:41:13.000Z"
"SOL-PERP","buy","","0.7","94.698","limit","trade","-0.409531","0.053031","2024-02-01T06:15:52.000Z"
"SOL-PERP","sell","","0.2","94.178","limit","trade","-0.01507","0.01507","2024-02-01T05:59:30.000Z"
"SOL-PERP","sell","","0.5","94.193","limit","trade","-0.037675","0.037675","2024-02-01T05:59:30.000Z"
"SOL-PERP","buy","","0.3","93.986","limit","trade","-0.006785","0.022552","2024-02-01T05:44:42.000Z"
"SOL-PERP","buy","","0.6","93.957","limit","trade","0.003829","0.045104","2024-02-01T05:44:42.000Z"
"SOL-PERP","sell","","0.4","94.013","limit","trade","-0.030092","0.030092","2024-02-01T05:24:50.000Z"
"SOL-PERP","sell","","0.5","94.059","limit","trade","-0.037615","0.037615","2024-02-01T05:24:50.000Z"
"SOL-PERP","buy","","0.9","93.948","limit","trade","0.224857","0.067643","2024-02-01T05:06:53.000Z"
"SOL-PERP","sell","","0.3","94.241","limit","trade","-0.022625","0.022625","2024-02-01T04:53:29.000Z"
"SOL-PERP","sell","","0.6","94.289","limit","trade","-0.045251","0.045251","2024-02-01T04:53:29.000Z"
"SOL-PERP","buy","","0.3","93.673","limit","trade","-0.02638","0.02248","2024-02-01T04:27:20.000Z"
"SOL-PERP","buy","","0.5","93.665","limit","trade","-0.039967","0.037467","2024-02-01T04:27:20.000Z"
