time,open,high,low,close,Reistance Level,Support Level,Volume
1518652800,9479.985,10247.525,9343.89,10025.8525,19804.2475,5893.765,72176.4533283
1518739200,10024.95,10310.095,9709.0225,10183.905,19804.2475,5893.765,41725.12335819
1518825600,10185.515,11139.295,10051.7325,11105.625,19804.2475,5893.765,47045.83478671
1518912000,11110.27,11294.475,10166.7875,10408.5275,19804.2475,5893.765,60699.27300827
1518998400,10413.595,11264.0225,10322.725,11161.255,19804.2475,5893.765,38722.42184926
1519084800,11155.9625,11773.775,11060.84,11229.375,19804.2475,5893.765,60392.4193132
1519171200,11231.2975,11284.565,10247.55,10461.6925,19804.2475,5893.765,75828.92901919
1519257600,10463.125,10937.725,9724.6175,9835.875,19804.2475,5893.765,72918.36611412
1519344000,9833.5425,10408.6675,9580.5825,10157.6025,19804.2475,5893.765,54532.22369023
1519430400,10145.325,10537.06,9376.395,9690.955,19804.2475,5893.765,48841.91311393
1519516800,9690.5225,9872.6275,9296.2125,9590.7575,19804.2475,5893.765,33607.69102121
1519603200,9592.1075,10453.6475,9391.51,10311.7,19804.2475,5893.765,50025.7171439
1519689600,10314.195,10855.9925,10131.0075,10561.5825,19804.2475,5893.765,41779.20229081
1519776000,10564.57,11060.0375,10259.755,10306.8075,19804.2475,5893.765,44866.46276976
1519862400,10307.0275,11079.0575,10191.85,10905,19804.2475,5893.765,37790.22954537
1519948800,10908.51,11178.5,10774.3125,11022.265,19804.2475,5893.765,32139.67222246
1520035200,11022.7575,11502.9225,11020.265,11434.805,19804.2475,5893.765,27740.6720702
1520121600,11437.92,11509.25,11054.505,11478.115,19804.2475,5893.765,21451.64761923
1520208000,11479.9675,11662.5375,11380.865,11407.6725,19804.2475,5893.765,28851.44781875
1520294400,11405.4475,11413.82,10560.0175,10713.0325,19804.2475,5893.765,48442.61620452
1520380800,10709.57,10900.9425,9403.275,9905.0725,19804.2475,5893.765,83814.93382405
1520467200,9905.6175,10117.175,9044.7375,9291.4725,19804.2475,5893.765,66583.55470787
1520553600,9296.865,9416.875,8376.5,9246.625,19804.2475,5893.765,101768.97984849
1520640000,9241.335,9516.035,8700.27,8777.0275,19804.2475,5893.765,45209.68050044
1520726400,8779.0275,9761.4475,8486.2625,9531.515,19804.2475,5893.765,55958.09929415
1520812800,9534.0825,9894.975,8759.94,9113.485,19804.2475,5893.765,60639.80879094
1520899200,9113.8825,9483.1675,8836.875,9143.8875,19804.2475,5893.765,50433.12581604
1520985600,9146.5875,9358.3,7927.9125,8194.185,19804.2475,5893.765,82092.73359495
1521072000,8193.8125,8416.73,7661.1875,8260.1575,19804.2475,5893.765,73963.98571898
1521158400,8257.5025,8608.7925,7896.1225,8263.8375,19804.2475,5893.765,52068.14895906
1521244800,8262.1575,8349.055,7732.9325,7860.585,19804.2475,5893.765,41198.21560804
1521331200,7856.3225,8293.4375,7314.8425,8190.1825,19804.2475,5893.765,77837.93424734
1521417600,8194.5075,8750.23,8101.545,8598.785,19804.2475,5893.765,67882.31981565
1521504000,8596.1975,9042.815,8315.4275,8903.3125,19804.2475,5893.765,53514.10413502
1521590400,8906.735,9182.975,8751.2075,8892.0325,19804.2475,5893.765,45029.81865469
1521676800,8890.7475,9097.43,8488.1025,8710.45,19804.2475,5893.765,44592.9422519
1521763200,8710.805,8927.1275,8274.5125,8922.4225,19804.2475,5893.765,45291.93075784
1521849600,8922.0475,9012.25,8498.25,8537.1675,19804.2475,5893.765,31416.36894755
1521936000,8532.615,8678.825,8368.095,8452.075,19804.2475,5893.765,27963.81561043
1522022400,8453.6575,8498.3575,7840.775,8143.28,19804.2475,5893.765,54398.65093501
1522108800,8146.1025,8220.85,7740.1775,7791.6175,19804.2475,5893.765,44110.77856799
1522195200,7792.47,8100.62,7732.155,7940.075,19804.2475,5893.765,31813.35094093
1522281600,7938.2575,7966.25,6905.6325,7083.7675,19804.2475,5893.765,82511.51208159
