"Market","Side","Type","Size","Price","Order Type","Trade Type","PnL","Fees","Date Time"
"SOL-PERP","buy","","0.6","97.311","limit","trade","-0.160709","0.046709","2024-02-05T08:57:40.000Z"
"SOL-PERP","sell","","0.6","97.121","limit","trade","-0.046618","0.046618","2024-02-05T08:34:01.000Z"
"SOL-PERP","buy","","0.6","97.158","limit","trade","0.274364","0.046636","2024-02-05T08:25:30.000Z"
"SOL-PERP","sell","","0.6","97.693","limit","trade","-0.046893","0.046893","2024-02-05T08:10:19.000Z"
"SOL-PERP","buy","","0.3","97.685","limit","trade","-0.146144","0.023444","2024-02-05T07:46:47.000Z"
"SOL-PERP","sell","","0.3","97.276","limit","trade","-0.023346","0.023346","2024-02-05T07:34:43.000Z"
"SOL-PERP","buy","","0.8","96.601","limit","trade","-0.345125","0.061825","2024-02-05T07:12:16.000Z"
"SOL-PERP","sell","","0.3","96.205","limit","trade","-0.023099","0.023099","2024-02-05T06:47:04.000Z"
"SOL-PERP","sell","","0.5","96.272","limit","trade","-0.038498","0.038498","2024-02-05T06:47:04.000Z"
"SOL-PERP","buy","","0.4","96.241","limit","trade","0.016803","0.030797","2024-02-05T06:26:23.000Z"
"SOL-PERP","sell","","0.4","96.36","limit","trade","-0.030835","0.030835","2024-02-05T06:13:01.000Z"
"SOL-PERP","buy","","0.4","96.111","limit","trade","-0.115156","0.030756","2024-02-05T05:51:34.000Z"
"SOL-PERP","sell","","0.4","95.9","limit","trade","-0.030688","0.030688","2024-02-05T05:26:55.000Z"
"SOL-PERP","buy","","0.4","96.099","limit","trade","-0.014352","0.030752","2024-02-05T05:09:37.000Z"
"SOL-PERP","sell","","0.4","96.14","limit","trade","-0.030765","0.030765","2024-02-05T04:48:10.000Z"
"SOL-PERP","buy","","0.8","96.575","limit","trade","-0.365808","0.061808","2024-02-05T04:30:27.000Z"
"SOL-PERP","sell","","0.8","96.195","limit","trade","-0.061565","0.061565","2024-02-05T04:11:24.000Z"
"SOL-PERP","buy","","0.7","95.661","limit","trade","-0.12357","0.05357","2024-02-05T03:38:58.000Z"
"SOL-PERP","sell","","0.7","95.561","limit","trade","-0.053514","0.053514","2024-02-05T03:28:09.000Z"
"SOL-PERP","buy","","0.8","95.501","limit","trade","-0.249921","0.061121","2024-02-05T03:17:15.000Z"
"SOL-PERP","sell","","0.8","95.265","limit","trade","-0.06097","0.06097","2024-02-05T03:04:54.000Z"
"SOL-PERP","buy","","0.6","94.803","limit","trade","-0.045505","0.045505","2024-02-05T02:42:56.000Z"
"SOL-PERP","sell","","0.6","94.803","limit","trade","-0.045505","0.045505","2024-02-05T02:25:10.000Z"
"SOL-PERP","buy","","0.7","94.834","limit","trade","0.214993","0.053107","2024-02-05T02:18:37.000Z"
"SOL-PERP","sell","","0.7","95.217","limit","trade","-0.053322","0.053322","2024-02-05T02:05:20.000Z"
"SOL-PERP","buy","","0.6","95.069","limit","trade","-0.127233","0.045633","2024-02-05T01:52:48.000Z"
"SOL-PERP","sell","","0.6","94.933","limit","trade","-0.045568","0.045568","2024-02-05T01:37:34.000Z"
"SOL-PERP","buy","","0.6","94.622","limit","trade","0.231781","0.045419","2024-02-05T01:12:06.000Z"
"SOL-PERP","sell","","0.6","95.084","limit","trade","-0.04564","0.04564","2024-02-05T01:01:05.000Z"
"SOL-PERP","buy","","0.9","95.342","limit","trade","0.432854","0.068646","2024-02-05T00:48:03.000Z"
"SOL-PERP","sell","","0.4","95.867","limit","trade","-0.030687","0.030687","2024-02-05T00:24:29.000Z"
"SOL-PERP","sell","","0.5","95.925","limit","trade","-0.038359","0.038359","2024-02-05T00:24:29.000Z"
"SOL-PERP","buy","","0.3","98.734","limit","trade","0.317404","0.023696","2024-02-02T13:58:42.000Z"
"SOL-PERP","sell","","0.3","99.871","limit","trade","-0.023969","0.023969","2024-02-02T13:41:03.000Z"
"SOL-PERP","buy","","0.6","101.522","limit","trade","-0.069131","0.048731","2024-02-02T13:17:42.000Z"
"SOL-PERP","sell","","0.6","101.488","limit","trade","-0.048714","0.048714","2024-02-02T12:52:14.000Z"
"SOL-PERP","buy","","0.5","102.076","limit","trade","-0.18583","0.04083","2024-02-02T12:31:13.000Z"
"SOL-PERP","sell","","0.5","101.786","limit","trade","-0.040714","0.040714","2024-02-02T12:06:11.000Z"
"SOL-PERP","buy","","0.6","101.938","limit","trade","0.04047","0.04893","2024-02-02T11:41:50.000Z"
"SOL-PERP","sell","","0.6","102.087","limit","trade","-0.049002","0.049002","2024-02-02T11:30:33.000Z"
"SOL-PERP","buy","","0.5","101.795","limit","trade","0.039282","0.040718","2024-02-02T11:10:54.000Z"
"SOL-PERP","sell","","0.5","101.955","limit","trade","-0.040782","0.040782","2024-02-02T10:53:01.000Z"
"SOL-PERP","buy","","0.4","102.158","limit","trade","-0.644691","0.032691","2024-02-02T10:34:40.000Z"
"SOL-PERP","sell","","0.4","100.628","limit","trade","-0.032201","0.032201","2024-02-02T10:15:44.000Z"
"SOL-PERP","buy","","0.9","100.677","limit","trade","0.041813","0.072487","2024-02-02T10:09:17.000Z"
