time,open,high,low,close,Volume,Histogram
1518652800,9479.985,10247.525,9343.89,10025.8525,72176.4533283,-4.439960168958422
1518739200,10024.95,10310.095,9709.0225,10183.905,41725.12335819,1.049771922839625
1518825600,10185.515,11139.295,10051.7325,11105.625,47045.83478671,3.1027310911139665
1518912000,11110.27,11294.475,10166.7875,10408.5275,60699.27300827,-24.062007376532122
1518998400,10413.595,11264.0225,10322.725,11161.255,38722.42184926,21.150850781143532
1519084800,11155.9625,11773.775,11060.84,11229.375,60392.4193132,-9.96917363805774
1519171200,11231.2975,11284.565,10247.55,10461.6925,75828.92901919,-21.583665275488528
1519257600,10463.125,10937.725,9724.6175,9835.875,72918.36611412,-21.68694484524898
1519344000,9833.5425,10408.6675,9580.5825,10157.6025,54532.22369023,7.483907467488848
1519430400,10145.325,10537.06,9376.395,9690.955,48841.91311393,-36.11076529051347
1519516800,9690.5225,9872.6275,9296.2125,9590.7575,33607.69102121,-2.3946869602767933
1519603200,9592.1075,10453.6475,9391.51,10311.7,50025.7171439,29.09886228904422
1519689600,10314.195,10855.9925,10131.0075,10561.5825,41779.20229081,10.085820236623682
1519776000,10564.57,11060.0375,10259.755,10306.8075,44866.46276976,-10.283292550642003
1519862400,10307.0275,11079.0575,10191.85,10905,37790.22954537,24.14439595368429
1519948800,10908.51,11178.5,10774.3125,11022.265,32139.67222246,21.87388889418017
1520035200,11022.7575,11502.9225,11020.265,11434.805,27740.6720702,10.104990743278222
1520121600,11437.92,11509.25,11054.505,11478.115,21451.64761923,1.679945301166029
1520208000,11479.9675,11662.5375,11380.865,11407.6725,28851.44781875,-9.363608706272402
1520294400,11405.4475,11413.82,10560.0175,10713.0325,48442.61620452,-29.35522381752299
1520380800,10709.57,10900.9425,9403.275,9905.0725,83814.93382405,-37.26061486620963
1520467200,9905.6175,10117.175,9044.7375,9291.4725,66583.55470787,-13.188381988264663
1520553600,9296.865,9416.875,8376.5,9246.625,101768.97984849,17.05417967426787
1520640000,9241.335,9516.035,8700.27,8777.0275,45209.68050044,-14.290692056922657
1520726400,8779.0275,9761.4475,8486.2625,9531.515,55958.09929415,22.96040443847641
1520812800,9534.0825,9894.975,8759.94,9113.485,60639.80879094,-12.721400775249794
1520899200,9113.8825,9483.1675,8836.875,9143.8875,50433.12581604,0.9252024664965077
1520985600,9146.5875,9358.3,7927.9125,8194.185,82092.73359495,-16.223142204699517
1521072000,8193.8125,8416.73,7661.1875,8260.1575,73963.98571898,8.831496168258688
1521158400,8257.5025,8608.7925,7896.1225,8263.8375,52068.14895906,2.640386772419731
1521244800,8262.1575,8349.055,7732.9325,7860.585,41198.21560804,-10.482883215130055
1521331200,7856.3225,8293.4375,7314.8425,8190.1825,77837.93424734,25.80733260661567
1521417600,8194.5075,8750.23,8101.545,8598.785,67882.31981565,15.836492893291329
1521504000,8596.1975,9042.815,8315.4275,8903.3125,53514.10413502,11.802785322071642
1521590400,8906.735,9182.975,8751.2075,8892.0325,45029.81865469,-0.4371868499001721
1521676800,8890.7475,9097.43,8488.1025,8710.45,44592.9422519,3.2351350867064284
1521763200,8710.805,8927.1275,8274.5125,8922.4225,45291.93075784,14.306216663562367
1521849600,8922.0475,9012.25,8498.25,8537.1675,31416.36894755,-13.239291655924902
1521936000,8532.615,8678.825,8368.095,8452.075,27963.81561043,-4.554949929943341
1522022400,8453.6575,8498.3575,7840.775,8143.28,54398.65093501,-16.5296091149852
1522108800,8146.1025,8220.85,7740.1775,7791.6175,44110.77856799,-18.82428039766983
1522195200,7792.47,8100.62,7732.155,7940.075,31813.35094093,-11.19027086099606
1522281600,7938.2575,7966.25,6905.6325,7083.7675,82511.51208159,-6.509150049471777
1522368000,7082.3125,7273.4,6575,6835.18,91502.9633023,2.1542668744063826
1522454400,6832.585,7218.475,6784.1675,6922.18,40804.88420163,3.787389350357941
1522540800,6923.4725,7042.6675,6442.2625,6812.6375,52485.23802946,0.6478367181529947
1522627200,6815.535,7113.6025,6766.27,7050.615,42700.392636,9.259869941001657
1522713600,7050.59,7514.135,7012.0125,7418.625,54619.65304992,19.98318524900441
1522800000,7417.265,7427.1725,6706.335,6794.085,50802.85772889,-26.543405228604907
1522886400,6793.94,6930.155,6568.4225,6774.51,46331.38537677,1.569214874695696
1522972800,6774.98,6848.25,6511.6675,6611.62,32318.09738004,-8.468049790976947
1523059200,6615.775,7070.1625,6602.69,6897,29059.04653322,19.626299635440752
1523145600,6894.8,7104.5275,6885.725,7021.1225,17532.46529566,24.16589407016833
1523232000,7026.335,7177.1125,6612.285,6773.91,38615.17007353,-23.063610643989886
1523318400,6775.9125,6889.405,6653.08,6830.335,22853.85267858,5.264152219597033
1523404800,6827.845,6973.69,6803.7375,6941.09,21306.6294894,6.631451790235076
1523491200,6941.0675,8174.0425,6762.85,7920.0175,75152.91366631,41.882601005051825
1523577600,7919.9375,8230.8275,7746.6875,7887.1375,59637.18052413,-4.710891968093335
1523664000,7884.3575,8193.325,7825.4675,8001.6225,25306.62155028,6.65935689522793
1523750400,8002.395,8411.2475,7999.7525,8357.55,23691.28021318,10.505574172826044
1523836800,8360.46,8417.1925,7903.2475,8051.6125,34828.14017715,-17.32086224728461
1523923200,8053.95,8167.455,7812.28,7891.5925,28149.71791124,-8.97293457222868
1524009600,7891.5725,8253.5775,7873.7875,8165.4725,33095.3987837,15.174184826646254
1524096000,8165.995,8300.43,8091.4025,8272.5775,27734.49659519,5.74881463181319
1524182400,8270.95,8935.6325,8218.5275,8862.335,44978.01869306,4.824167088029483
1524268800,8862.85,9043.8175,8612.52,8925.1825,35886.13197492,-1.8276430782761537
