"Market","Side","Type","Size","Price","Order Type","Trade Type","PnL","Fees","Date Time"
"SOL-PERP","buy","","0.5","95.675","limit","trade","-0.07227","0.03827","2024-02-05T18:11:54.000Z"
"SOL-PERP","sell","","0.5","95.607","limit","trade","-0.038243","0.038243","2024-02-05T17:58:08.000Z"
"SOL-PERP","buy","","0.3","95.588","limit","trade","0.161559","0.022941","2024-02-05T17:56:37.000Z"
"SOL-PERP","sell","","0.3","96.203","limit","trade","-0.023089","0.023089","2024-02-05T17:40:38.000Z"
"SOL-PERP","buy","","0.5","96.046","limit","trade","-0.009918","0.038418","2024-02-05T17:24:53.000Z"
"SOL-PERP","sell","","0.5","96.103","limit","trade","-0.038441","0.038441","2024-02-05T17:11:17.000Z"
"SOL-PERP","buy","","0.3","95.943","limit","trade","-0.146926","0.023026","2024-02-05T16:55:23.000Z"
"SOL-PERP","sell","","0.3","95.53","limit","trade","-0.022927","0.022927","2024-02-05T16:31:57.000Z"
"SOL-PERP","buy","","0.2","95.688","limit","trade","-0.112706","0.015306","2024-02-05T16:13:09.000Z"
"SOL-PERP","buy","","0.5","95.658","limit","trade","-0.266766","0.038266","2024-02-05T16:13:09.000Z"
"SOL-PERP","sell","","0.7","95.201","limit","trade","-0.053313","0.053313","2024-02-05T15:56:47.000Z"
"SOL-PERP","buy","","0.6","96.485","limit","trade","0.035887","0.046313","2024-02-05T15:42:09.000Z"
"SOL-PERP","sell","","0.6","96.622","limit","trade","-0.046379","0.046379","2024-02-05T15:24:57.000Z"
"SOL-PERP","buy","","0.6","97.581","limit","trade","0.121761","0.046839","2024-02-05T15:00:50.000Z"
"SOL-PERP","sell","","0.6","97.862","limit","trade","-0.046974","0.046974","2024-02-05T14:41:58.000Z"
"SOL-PERP","buy","","0.6","97.987","limit","trade","0.133566","0.047034","2024-02-05T14:29:05.000Z"
"SOL-PERP","sell","","0.2","98.264","limit","trade","-0.015726","0.015726","2024-02-05T14:04:09.000Z"
"SOL-PERP","sell","","0.4","98.3","limit","trade","-0.031452","0.031452","2024-02-05T14:04:09.000Z"
"SOL-PERP","buy","","0.5","98.388","limit","trade","-0.041355","0.039355","2024-02-05T14:02:40.000Z"
"SOL-PERP","sell","","0.5","98.384","limit","trade","-0.039354","0.039354","2024-02-05T13:37:26.000Z"
"SOL-PERP","buy","","0.7","97.971","limit","trade","-0.403464","0.054864","2024-02-05T13:26:28.000Z"
"SOL-PERP","sell","","0.7","97.473","limit","trade","-0.054585","0.054585","2024-02-05T13:07:23.000Z"
"SOL-PERP","buy","","0.9","97.604","limit","trade","-0.153975","0.070275","2024-02-05T12:52:20.000Z"
"SOL-PERP","sell","","0.9","97.511","limit","trade","-0.070208","0.070208","2024-02-05T12:36:10.000Z"
"SOL-PERP","buy","","0.6","97.77","limit","trade","-0.17833","0.04693","2024-02-05T12:11:35.000Z"
"SOL-PERP","sell","","0.6","97.551","limit","trade","-0.046824","0.046824","2024-02-05T11:51:21.000Z"
"SOL-PERP","buy","","0.5","97.796","limit","trade","-0.042118","0.039118","2024-02-05T11:29:52.000Z"
"SOL-PERP","sell","","0.5","97.79","limit","trade","-0.039116","0.039116","2024-02-05T11:10:29.000Z"
"SOL-PERP","buy","","0.7","97.761","limit","trade","-0.072946","0.054746","2024-02-05T10:46:42.000Z"
"SOL-PERP","sell","","1.4","97.735","limit","trade","-0.109464","0.109464","2024-02-05T10:25:11.000Z"
"SOL-PERP","buy","","0.4","97.313","limit","trade","-0.14434","0.03114","2024-02-05T10:01:35.000Z"
"SOL-PERP","sell","","0.4","97.03","limit","trade","-0.03105","0.03105","2024-02-05T09:44:06.000Z"
"SOL-PERP","buy","","0.9","97.06","limit","trade","0.299117","0.069883","2024-02-05T09:23:23.000Z"
"SOL-PERP","sell","","0.9","97.47","limit","trade","-0.070178","0.070178","2024-02-05T09:03:40.000Z"
"SOL-PERP","buy","","0.6","96.993","limit","trade","0.125643","0.046557","2024-02-05T08:44:57.000Z"
"SOL-PERP","sell","","0.6","97.28","limit","trade","-0.046694","0.046694","2024-02-05T08:30:53.000Z"
"SOL-PERP","buy","","0.9","97.158","limit","trade","0.292746","0.069954","2024-02-05T08:25:30.000Z"
"SOL-PERP","sell","","0.9","97.561","limit","trade","-0.070244","0.070244","2024-02-05T08:11:24.000Z"
"SOL-PERP","buy","","0.7","97.823","limit","trade","-0.575581","0.054781","2024-02-05T07:48:24.000Z"
"SOL-PERP","sell","","0.2","97.059","limit","trade","-0.015532","0.015532","2024-02-05T07:36:20.000Z"
"SOL-PERP","sell","","0.5","97.087","limit","trade","-0.038831","0.038831","2024-02-05T07:36:20.000Z"
"SOL-PERP","buy","","0.8","96.886","limit","trade","-0.319807","0.062007","2024-02-05T07:22:48.000Z"
"SOL-PERP","sell","","0.2","96.536","limit","trade","-0.01545","0.01545","2024-02-05T06:59:47.000Z"
"SOL-PERP","sell","","0.6","96.573","limit","trade","-0.04635","0.04635","2024-02-05T06:59:47.000Z"
"SOL-PERP","buy","","0.4","96.205","limit","trade","0.045614","0.030786","2024-02-05T06:35:37.000Z"
"SOL-PERP","sell","","0.4","96.396","limit","trade","-0.030847","0.030847","2024-02-05T06:11:01.000Z"
"SOL-PERP","buy","","0.3","95.943","limit","trade","-0.027226","0.023026","2024-02-05T05:45:15.000Z"
"SOL-PERP","sell","","0.3","95.929","limit","trade","-0.023023","0.023023","2024-02-05T05:20:19.000Z"
"SOL-PERP","buy","","0.7","96.183","limit","trade","-0.025162","0.053862","2024-02-05T05:06:13.000Z"
"SOL-PERP","sell","","0.7","96.224","limit","trade","-0.053885","0.053885","2024-02-05T04:50:18.000Z"
"SOL-PERP","buy","","0.6","96.535","limit","trade","-0.256337","0.046337","2024-02-05T04:31:42.000Z"
"SOL-PERP","sell","","0.6","96.185","limit","trade","-0.046169","0.046169","2024-02-05T04:14:55.000Z"
"SOL-PERP","buy","","0.5","95.81","limit","trade","-0.141824","0.038324","2024-02-05T04:01:48.000Z"
"SOL-PERP","sell","","0.5","95.603","limit","trade","-0.038241","0.038241","2024-02-05T03:49:54.000Z"
"SOL-PERP","buy","","1","95.464","limit","trade","-0.275371","0.076371","2024-02-05T03:24:50.000Z"
"SOL-PERP","sell","","1","95.265","limit","trade","-0.076212","0.076212","2024-02-05T03:04:48.000Z"
"SOL-PERP","buy","","0.3","95.045","limit","trade","-0.113711","0.022811","2024-02-05T02:51:17.000Z"
"SOL-PERP","sell","","0.3","94.742","limit","trade","-0.022738","0.022738","2024-02-05T02:34:28.000Z"
"SOL-PERP","buy","","1","94.839","limit","trade","0.115129","0.075871","2024-02-05T02:18:51.000Z"
"SOL-PERP","sell","","1","95.03","limit","trade","-0.076024","0.076024","2024-02-05T01:53:13.000Z"
"SOL-PERP","buy","","0.3","95.036","limit","trade","-0.252909","0.022809","2024-02-05T01:36:47.000Z"
"SOL-PERP","sell","","0.3","94.269","limit","trade","-0.022625","0.022625","2024-02-05T01:13:44.000Z"
"SOL-PERP","buy","","0.5","95.363","limit","trade","0.118855","0.038145","2024-02-05T00:55:20.000Z"
"SOL-PERP","sell","","0.5","95.677","limit","trade","-0.038271","0.038271","2024-02-05T00:34:20.000Z"
"SOL-PERP","buy","","0.5","95.711","limit","trade","1.443716","0.038284","2024-02-05T00:33:32.000Z"
"SOL-PERP","sell","","0.5","98.675","limit","trade","-0.03947","0.03947","2024-02-02T14:02:21.000Z"
"SOL-PERP","buy","","0.3","99.941","limit","trade","0.503714","0.023986","2024-02-02T13:38:46.000Z"
"SOL-PERP","sell","","0.3","101.7","limit","trade","-0.024408","0.024408","2024-02-02T13:26:50.000Z"
"SOL-PERP","buy","","0.6","101.349","limit","trade","0.100752","0.048648","2024-02-02T13:12:06.000Z"
"SOL-PERP","sell","","0.6","101.598","limit","trade","-0.048767","0.048767","2024-02-02T12:48:40.000Z"
"SOL-PERP","buy","","0.6","101.762","limit","trade","0.212754","0.048846","2024-02-02T12:36:45.000Z"
"SOL-PERP","sell","","0.6","102.198","limit","trade","-0.049055","0.049055","2024-02-02T12:20:58.000Z"
"SOL-PERP","buy","","0.5","102.04","limit","trade","-0.168811","0.040811","2024-02-02T11:59:29.000Z"
"SOL-PERP","buy","","0.5","102.017","limit","trade","-0.157311","0.040811","2024-02-02T11:59:29.000Z"
"SOL-PERP","sell","","1","101.784","limit","trade","-0.081427","0.081427","2024-02-02T11:39:13.000Z"
"SOL-PERP","buy","","0.4","101.756","limit","trade","0.004238","0.032562","2024-02-02T11:16:28.000Z"
"SOL-PERP","sell","","0.4","101.848","limit","trade","-0.032591","0.032591","2024-02-02T11:05:01.000Z"
"SOL-PERP","buy","","0.4","102.022","limit","trade","-0.08904","0.03264","2024-02-02T10:52:54.000Z"
"SOL-PERP","buy","","0.4","101.98","limit","trade","-0.07224","0.03264","2024-02-02T10:52:54.000Z"
"SOL-PERP","sell","","0.8","101.881","limit","trade","-0.065204","0.065204","2024-02-02T10:41:16.000Z"
"SOL-PERP","buy","","0.6","101.156","limit","trade","-0.263355","0.048555","2024-02-02T10:18:09.000Z"
