"Market","Side","Type","Size","Price","Order Type","Trade Type","PnL","Fees","Date Time"
"SOL-PERP","buy","","0.6","99.9","limit","trade","-0.949116","0.047916","2024-02-07T21:28:02.000Z"
"SOL-PERP","buy","","1.7","99.8","limit","trade","-2.519163","0.135763","2024-02-07T21:28:02.000Z"
"SOL-PERP","sell","","2.3","98.398","limit","trade","-0.181052","0.181052","2024-02-07T21:03:54.000Z"
"SOL-PERP","buy","","0.4","98.452","limit","trade","-0.225517","0.031503","2024-02-07T20:52:42.000Z"
"SOL-PERP","buy","","0.2","98.451","limit","trade","-0.112558","0.015751","2024-02-07T20:52:42.000Z"
"SOL-PERP","buy","","0.2","98.45","limit","trade","-0.112358","0.015751","2024-02-07T20:52:42.000Z"
"SOL-PERP","buy","","0.2","98.449","limit","trade","-0.112158","0.015751","2024-02-07T20:52:42.000Z"
"SOL-PERP","buy","","0.2","98.449","limit","trade","-0.112158","0.015751","2024-02-07T20:52:42.000Z"
"SOL-PERP","buy","","0.2","98.448","limit","trade","-0.111958","0.015751","2024-02-07T20:52:42.000Z"
"SOL-PERP","buy","","0.2","98.447","limit","trade","-0.111758","0.015751","2024-02-07T20:52:42.000Z"
"SOL-PERP","buy","","0.2","98.447","limit","trade","-0.111758","0.015751","2024-02-07T20:52:42.000Z"
"SOL-PERP","buy","","0.2","98.446","limit","trade","-0.111558","0.015751","2024-02-07T20:52:42.000Z"
"SOL-PERP","buy","","0.2","98.445","limit","trade","-0.111358","0.015751","2024-02-07T20:52:42.000Z"
"SOL-PERP","buy","","0.2","98.445","limit","trade","-0.111358","0.015751","2024-02-07T20:52:42.000Z"
"SOL-PERP","buy","","0.2","98.444","limit","trade","-0.111158","0.015751","2024-02-07T20:52:42.000Z"
"SOL-PERP","buy","","0.2","98.444","limit","trade","-0.111158","0.015751","2024-02-07T20:52:42.000Z"
"SOL-PERP","sell","","1.2","97.94","limit","trade","-0.094047","0.094047","2024-02-07T20:27:17.000Z"
"SOL-PERP","sell","","0.5","97.948","limit","trade","-0.039186","0.039186","2024-02-07T20:27:17.000Z"
"SOL-PERP","sell","","0.6","98.005","limit","trade","-0.047023","0.047023","2024-02-07T20:27:17.000Z"
"SOL-PERP","sell","","0.5","98.005","limit","trade","-0.039186","0.039186","2024-02-07T20:27:17.000Z"
"SOL-PERP","buy","","2.3","97.108","limit","trade","0.584921","0.178679","2024-02-07T19:38:04.000Z"
"SOL-PERP","sell","","2.3","97.44","limit","trade","-0.17929","0.17929","2024-02-07T19:19:32.000Z"
