"Market","Side","Type","Size","Price","Order Type","Trade Type","PnL","Fees","Date Time"
"SOL-PERP","buy","","1.1","103.919","limit","trade","0.187951","0.091449","2024-02-08T14:33:32.000Z"
"SOL-PERP","sell","","1.1","104.173","limit","trade","-0.091672","0.091672","2024-02-08T14:11:33.000Z"
"SOL-PERP","buy","","0.1","104.143","limit","trade","-0.13253","0.00833","2024-02-08T14:09:39.000Z"
"SOL-PERP","buy","","0.1","104.142","limit","trade","-0.13243","0.00833","2024-02-08T14:09:39.000Z"
"SOL-PERP","buy","","0.1","104.142","limit","trade","-0.13243","0.00833","2024-02-08T14:09:39.000Z"
"SOL-PERP","buy","","0.1","104.141","limit","trade","-0.13233","0.00833","2024-02-08T14:09:39.000Z"
"SOL-PERP","buy","","0.1","104.139","limit","trade","-0.13213","0.00833","2024-02-08T14:09:39.000Z"
"SOL-PERP","buy","","0.1","104.139","limit","trade","-0.13213","0.00833","2024-02-08T14:09:39.000Z"
"SOL-PERP","buy","","0.1","104.138","limit","trade","-0.13203","0.00833","2024-02-08T14:09:39.000Z"
"SOL-PERP","buy","","0.1","104.138","limit","trade","-0.13203","0.00833","2024-02-08T14:09:39.000Z"
"SOL-PERP","buy","","0.1","104.137","limit","trade","-0.13193","0.00833","2024-02-08T14:09:39.000Z"
"SOL-PERP","buy","","0.1","104.135","limit","trade","-0.13173","0.00833","2024-02-08T14:09:39.000Z"
"SOL-PERP","buy","","0.1","104.133","limit","trade","-0.13153","0.00833","2024-02-08T14:09:39.000Z"
"SOL-PERP","buy","","0.1","104.131","limit","trade","-0.13133","0.00833","2024-02-08T14:09:39.000Z"
"SOL-PERP","sell","","1.2","102.901","limit","trade","-0.098785","0.098785","2024-02-08T13:50:17.000Z"
"SOL-PERP","buy","","2.9","101.986","limit","trade","-1.356008","0.236608","2024-02-08T13:37:35.000Z"
"SOL-PERP","sell","","2.9","101.6","limit","trade","-0.235712","0.235712","2024-02-08T13:14:26.000Z"
"SOL-PERP","buy","","2.9","101.205","limit","trade","-0.401445","0.234791","2024-02-08T12:52:57.000Z"
"SOL-PERP","buy","","0.1","101.146","limit","trade","-0.007943","0.008096","2024-02-08T12:52:57.000Z"
"SOL-PERP","sell","","1.4","101.147","limit","trade","-0.113285","0.113285","2024-02-08T12:38:18.000Z"
"SOL-PERP","sell","","1.6","101.148","limit","trade","-0.129468","0.129468","2024-02-08T12:38:18.000Z"
"SOL-PERP","buy","","2","101.55","limit","trade","-1.216082","0.16248","2024-02-08T12:10:50.000Z"
"SOL-PERP","sell","","0.6","101.015","limit","trade","-0.048491","0.048491","2024-02-08T11:53:48.000Z"
"SOL-PERP","sell","","0.9","101.016","limit","trade","-0.072736","0.072736","2024-02-08T11:53:48.000Z"
"SOL-PERP","sell","","0.5","101.046","limit","trade","-0.040409","0.040409","2024-02-08T11:53:48.000Z"
"SOL-PERP","buy","","2.1","101.293","limit","trade","0.829428","0.170172","2024-02-08T11:35:57.000Z"
"SOL-PERP","sell","","2.1","101.769","limit","trade","-0.170972","0.170972","2024-02-08T11:11:09.000Z"
"SOL-PERP","buy","","2","101.947","limit","trade","-0.657115","0.163115","2024-02-08T10:41:56.000Z"
"SOL-PERP","sell","","2","101.7","limit","trade","-0.16272","0.16272","2024-02-08T10:25:07.000Z"
"SOL-PERP","buy","","1.6","101.95","limit","trade","-0.655296","0.130496","2024-02-08T10:11:52.000Z"
"SOL-PERP","sell","","1.6","101.622","limit","trade","-0.130076","0.130076","2024-02-08T09:43:39.000Z"
"SOL-PERP","buy","","2.6","101.575","limit","trade","1.340924","0.211276","2024-02-08T09:22:36.000Z"
"SOL-PERP","sell","","2.6","102.172","limit","trade","-0.212518","0.212518","2024-02-08T09:07:32.000Z"
"SOL-PERP","buy","","2.8","101.449","limit","trade","-1.053246","0.227246","2024-02-08T08:40:53.000Z"
"SOL-PERP","sell","","2.8","101.154","limit","trade","-0.226585","0.226585","2024-02-08T08:16:18.000Z"
