"Market","Side","Type","Size","Price","Order Type","Trade Type","PnL","Fees","Date Time"
"SOL-PERP","sell","","0.6","94.654","limit","trade","-0.045434","0.045434","2024-02-01T06:38:17.000Z"
"SOL-PERP","buy","","0.5","94.306","limit","trade","-0.120222","0.037722","2024-02-01T06:12:41.000Z"
"SOL-PERP","sell","","0.5","94.141","limit","trade","-0.037656","0.037656","2024-02-01T05:51:45.000Z"
"SOL-PERP","buy","","0.6","93.644","limit","trade","0.130851","0.044949","2024-02-01T05:37:15.000Z"
"SOL-PERP","sell","","0.6","93.937","limit","trade","-0.04509","0.04509","2024-02-01T05:25:30.000Z"
"SOL-PERP","buy","","0.4","94.168","limit","trade","-0.064934","0.030134","2024-02-01T05:13:53.000Z"
"SOL-PERP","sell","","0.4","94.081","limit","trade","-0.030106","0.030106","2024-02-01T04:59:33.000Z"
"SOL-PERP","buy","","0.4","93.422","limit","trade","0.180505","0.029895","2024-02-01T04:33:26.000Z"
"SOL-PERP","sell","","0.4","93.948","limit","trade","-0.030063","0.030063","2024-02-01T04:17:57.000Z"
"SOL-PERP","buy","","0.1","93.943","limit","trade","-0.055311","0.007511","2024-02-01T03:52:07.000Z"
"SOL-PERP","buy","","0.6","93.886","limit","trade","-0.297668","0.045068","2024-02-01T03:52:07.000Z"
"SOL-PERP","sell","","0.7","93.465","limit","trade","-0.05234","0.05234","2024-02-01T03:26:26.000Z"
"SOL-PERP","buy","","0.8","93.677","limit","trade","0.322447","0.059953","2024-02-01T03:21:57.000Z"
"SOL-PERP","sell","","0.3","94.145","limit","trade","-0.022597","0.022597","2024-02-01T02:54:44.000Z"
"SOL-PERP","sell","","0.5","94.161","limit","trade","-0.037661","0.037661","2024-02-01T02:54:44.000Z"
"SOL-PERP","buy","","0.7","93.935","limit","trade","0.163596","0.052604","2024-02-01T02:29:45.000Z"
"SOL-PERP","sell","","0.1","94.243","limit","trade","-0.007539","0.007539","2024-02-01T02:14:20.000Z"
"SOL-PERP","sell","","0.6","94.244","limit","trade","-0.045236","0.045236","2024-02-01T02:14:20.000Z"
"SOL-PERP","buy","","0.4","94.432","limit","trade","-0.089818","0.030218","2024-02-01T02:01:40.000Z"
"SOL-PERP","sell","","0.4","94.283","limit","trade","-0.030171","0.030171","2024-02-01T01:41:23.000Z"
"SOL-PERP","buy","","0.8","95.414","limit","trade","0.865335","0.061065","2024-02-01T01:29:03.000Z"
"SOL-PERP","sell","","0.8","96.572","limit","trade","-0.061806","0.061806","2024-02-01T01:10:37.000Z"
"SOL-PERP","buy","","0.7","97.269","limit","trade","-0.657171","0.054471","2024-02-01T00:55:45.000Z"
"SOL-PERP","sell","","0.7","96.408","limit","trade","-0.053988","0.053988","2024-02-01T00:44:29.000Z"
"SOL-PERP","buy","","0.4","97.117","limit","trade","0.106528","0.031072","2024-02-01T00:30:17.000Z"
"SOL-PERP","buy","","0.5","97.092","limit","trade","0.145659","0.038841","2024-02-01T00:30:17.000Z"
"SOL-PERP","sell","","0.9","97.461","limit","trade","-0.070172","0.070172","2024-02-01T00:16:12.000Z"
"SOL-PERP","buy","","0.4","97.435","limit","trade","-0.211179","0.031179","2024-02-01T00:03:19.000Z"
"SOL-PERP","sell","","0.4","96.985","limit","trade","-0.031035","0.031035","2024-01-31T23:49:51.000Z"
"SOL-PERP","buy","","0.8","96.947","limit","trade","-0.229246","0.062046","2024-01-31T23:30:38.000Z"
"SOL-PERP","sell","","0.8","96.738","limit","trade","-0.061912","0.061912","2024-01-31T23:14:38.000Z"
"SOL-PERP","buy","","0.5","97.668","limit","trade","-0.170067","0.039067","2024-01-31T23:02:37.000Z"
"SOL-PERP","sell","","0.5","97.406","limit","trade","-0.038962","0.038962","2024-01-31T22:46:17.000Z"
"SOL-PERP","buy","","0.4","97.205","limit","trade","-0.081506","0.031106","2024-01-31T22:22:16.000Z"
"SOL-PERP","sell","","0.4","97.079","limit","trade","-0.031065","0.031065","2024-01-31T21:59:25.000Z"
"SOL-PERP","buy","","0.4","96.743","limit","trade","0.536247","0.030953","2024-01-31T21:35:38.000Z"
"SOL-PERP","buy","","0.6","96.719","limit","trade","0.818771","0.046429","2024-01-31T21:35:38.000Z"
"SOL-PERP","sell","","1","98.161","limit","trade","-0.078529","0.078529","2024-01-31T21:08:44.000Z"
"SOL-PERP","buy","","0.4","99.722","limit","trade","0.496089","0.031911","2024-01-31T20:26:05.000Z"
"SOL-PERP","sell","","0.4","101.042","limit","trade","-0.032333","0.032333","2024-01-31T20:01:02.000Z"
"SOL-PERP","buy","","1","100.94","limit","trade","-0.692252","0.080752","2024-01-31T19:48:13.000Z"
