time,open,high,low,close,TD8,TD8,TD9,TD9,Small Bull Arrow,Small Bear Arrow,Big Bull Arrow,Big Bear Arrow,Over-Bought,Over-Sold,Caution,Danger
1465776000,671.98,719,658,705.87,,,,,0,0,0,0,663.5632157088194,458.1587290998577,,
1465862400,705.87,705.88,656.51,684.5,,,,,0,0,0,0,676.9256753971537,467.1471056464293,,
1465948800,684.5,699.4,667.89,696.99,,,,,0,0,0,0,685.6918228781913,477.5392109275467,,
1466035200,698,779,697.31,769.5,,,,,0,0,0,0,710.4144184308104,486.7377112431989,,
1466121600,769.46,780,702.01,747.95,,,,,0,0,0,0,733.7536687528822,495.78745181261496,,
1466208000,747.7,789.78,720,757.6,,1,,,0,0,0,0,755.838983983868,499.30204797033264,,
1466294400,757.63,775,739,767.3,,,,1,0,0,0,0,771.9380245891508,502.67851577578347,,
1466380800,767.31,767.77,721,743.9,,,,,0,0,0,0,784.4969282717906,510.7959042383859,,
1466467200,742.98,742.98,635.37,668.6,,,,,0,0,0,0,791.6979032563631,521.1187347430318,,
1466553600,669,688.32,588.88,605.85,,,,,0,0,0,0,792.0485817080992,527.9561471779,,
1466640000,605.87,639,555.56,625.8,,,,,0,0,0,0,791.4063289431786,530.8085503632171,,
1466726400,625.8,679.99,625.79,665.5,,,,,0,0,0,0,792.3226347084186,536.7627442725924,,
1466812800,665.99,698,647.541,668.15325,,,,,0,0,0,0,793.3933390568578,543.3966162154545,,
1466899200,667.83475,669.86125,627.61425,639.4175,,,,,0,0,0,0,792.4909752610577,548.3377781913324,,
1466985600,632.50975,659.264,624.1025,657.24225,,,,,0,0,0,0,791.0028272991351,555.1262372954783,,
1467072000,657.57675,662.76175,637.4925,648.128,,,,,0,0,0,0,788.4660154041957,561.7694338050428,,
1467158400,647.235,648.07225,624.5985,639.65975,,,,,0,0,0,0,785.0611953674334,568.0905955897076,,
1467244800,638.96925,674.125,633.885,671.9135,,,,,0,0,0,0,780.3137718721052,575.1186139627849,,
1467331200,671.685,689.401,665.29025,676.41,,,,,0,0,0,0,777.9206204858958,583.1435814678117,,
1467417600,676.475,703.52,675.4825,702.4325,,,,,0,0,0,0,778.4353811331669,588.6950095882682,,
1467504000,702.92,704.3075,646.95,659.085,,,,,0,0,0,0,777.6187523529652,588.0973589725229,,
1467590400,659.7,682.665,646.91,679.30525,,,,,0,0,0,0,776.9415957464421,587.5741216143579,,
1467676800,679.8645,681.846,661.194,668.675,,,,,0,0,0,0,776.5008563677114,587.3591201724835,,
1467763200,668.7425,680.32,664.955,676.395,,,,,0,0,0,0,767.3027579168405,587.3014771944946,,
1467849600,676.83,680.8425,609.87225,639.6375,,,,,0,0,0,0,756.7271998431903,583.6706312845192,,
1467936000,639.8125,666.99075,636.265,665.939,,,,,0,0,0,0,741.8907374780315,584.4934630033658,,
1468022400,665.998,666.303,620.3325,652.645,,,,,0,0,0,0,727.8634885743987,588.2539889118729,,
1468108800,652.6425,654.3325,640.15625,650.315,,,,,0,0,0,0,712.43216148799,593.4184852529136,,
1468195200,650.9325,661.54375,644.43375,650.4725,,,,,0,0,0,0,700.4871351810331,593.7123043103578,,
1468281600,650.5275,676.0775,647.38,666.26,,,,,0,0,0,0,699.4499770647412,599.5626584611551,,
1468368000,666.035,670.04375,653.545,654.6775,,,,,0,0,0,0,698.0628082406923,616.7665375966973,,
1468454400,653.735,664.579,647.67,660.68,,,,,0,0,0,0,697.509841743224,618.4104512028796,,
1468540800,660.4825,669.49975,659.445,665.63,,,,,0,0,0,0,694.6721996419543,618.4401215920633,,
1468627200,665.85,668.6205,659.5025,664.425,,,,,0,0,0,0,694.6365922034726,620.1235268374783,,
1468713600,664.7935,684.435,663.1875,680.4525,,,,,0,0,0,0,695.6238265988586,622.4890879859112,,
1468800000,680.0625,683.965,667.7985,673.9675,,,,,0,0,0,0,696.4931707624723,623.3218747114627,,
1468886400,674.0925,675.915,666.464,673.3855,,,,,0,0,0,0,695.6254507464033,626.1685394404464,,
1468972800,673.35,674.9145,661.66,666.16275,,,,,0,0,0,0,695.6531806121644,628.0048034226967,,
1469059200,666.5475,668.06725,660.05025,665.785,,,,,0,0,0,0,694.2931269293291,628.0123723105423,,
1469145600,665.51475,668.04975,645.30375,651.52,,,,,0,0,0,0,690.0154133955904,627.9066616453767,,
1469232000,651.01,658.9925,649.04225,656.7495,,,,,0,0,0,0,684.680974499968,628.0346680274149,,
1469318400,656.7945,666.222,652.92,662.4515,,,,,0,0,0,0,683.4238115402311,628.3501909508011,,
1469404800,661.565,663.69625,652.6315,655.1865,,,,,0,0,0,0,682.1559998947947,628.2087951348982,,
1469491200,655.60075,658.5325,644.695,651.765,,,,,0,0,0,0,681.1073697512486,627.7433614419126,,
1469577600,652.215,660.5375,647.785,656.35725,,,,,0,0,0,0,679.6831515693228,634.4090047977836,,
1469664000,656.68225,659.5,653.209,655.98,,,,,0,0,0,0,679.6399808983758,636.0440615673928,,
1469750400,656.3975,658.50975,652.89175,656.615,,,,,0,0,0,0,679.6181501403537,641.9780443550959,,
1469836800,656.72975,658.16175,652.9675,655.3175,,,,,0,0,0,0,679.4132325477073,643.5649200394362,,
1469923200,654.68,655.62975,619.6275,624.22,,,,,0,0,0,1,679.5967617753278,637.6742853964348,0,0
1470009600,624.125,628.249,602.4105,605.16775,,,,,0,0,0,0,682.2032835445483,628.204887562155,0,0
1470096000,605.208,613.0565,470.91,537.445,,,,,0,0,0,0,686.0935089598353,578.6686108966653,0,0
1470182400,537.66975,573.585,519.86025,570.15,,,,,0,0,0,0,695.007676698222,560.8381142612317,0,0
