time,open,high,low,close,Volume,RSI,RSI Line 2,RSI Line 3,Regular Bullish,Regular Bullish Label,Hidden Bullish,Hidden Bullish Label,Regular Bearish,Regular Bearish Label,Hidden Bearish,Hidden Bearish Label
1518652800,9479.985,10247.525,9343.89,10025.8525,72176.4533283,51.544754415218215,48.11625957887102,45.25894730265412,,,,,,,,
1518739200,10024.95,10310.095,9709.0225,10183.905,41725.12335819,52.505119001490044,50.310689290180534,47.78481829641733,,,,,,,,
1518825600,10185.515,11139.295,10051.7325,11105.625,47045.83478671,57.76256907612969,54.036629183155114,50.91072373978622,,,,,57.76256907612969,,57.76256907612969,
1518912000,11110.27,11294.475,10166.7875,10408.5275,60699.27300827,52.985469058363556,53.51104912075934,52.21088643027278,52.985469058363556,,52.985469058363556,,,,,
1518998400,10413.595,11264.0225,10322.725,11161.255,38722.42184926,57.11024480074645,55.31064696075289,53.760766695512835,,,,,,,,
1519084800,11155.9625,11773.775,11060.84,11229.375,60392.4193132,57.4738630798512,56.392255020302045,55.07651085790744,,,,,57.4738630798512,57.4738630798512,57.4738630798512,
1519171200,11231.2975,11284.565,10247.55,10461.6925,75828.92901919,52.11193455879335,54.2520947895477,54.66430282372757,,,,,,,,
1519257600,10463.125,10937.725,9724.6175,9835.875,72918.36611412,48.166906200698655,51.20950049512318,52.936901659425374,48.166906200698655,,48.166906200698655,,,,,
1519344000,9833.5425,10408.6675,9580.5825,10157.6025,54532.22369023,50.25194528907945,50.73072289210131,51.83381227576334,,,,,50.25194528907945,,50.25194528907945,
1519430400,10145.325,10537.06,9376.395,9690.955,48841.91311393,47.281099690596776,49.005911291349044,50.41986178355619,,,,,,,,
1519516800,9690.5225,9872.6275,9296.2125,9590.7575,33607.69102121,46.64346688739376,47.824689089371404,49.122275436463795,46.64346688739376,,46.64346688739376,,,,,
1519603200,9592.1075,10453.6475,9391.51,10311.7,50025.7171439,51.691635399523385,49.75816224444739,49.44021884045559,,,,,,,,
1519689600,10314.195,10855.9925,10131.0075,10561.5825,41779.20229081,53.339478017360214,51.548820130903806,50.4945194856797,,,,,53.339478017360214,,53.339478017360214,
1519776000,10564.57,11060.0375,10259.755,10306.8075,44866.46276976,51.41382103735734,51.48132058413057,50.98792003490514,51.41382103735734,,51.41382103735734,,,,,
1519862400,10307.0275,11079.0575,10191.85,10905,37790.22954537,55.47800724976441,53.47966391694749,52.23379197592631,,,,,,,,
1519948800,10908.51,11178.5,10774.3125,11022.265,32139.67222246,56.250590303438095,54.86512711019279,53.54945954305955,,,,,,,,
1520035200,11022.7575,11502.9225,11020.265,11434.805,27740.6720702,58.949400992943765,56.907264051568276,55.22836179731391,,,,,,,,
1520121600,11437.92,11509.25,11054.505,11478.115,21451.64761923,59.233721440885894,58.07049274622709,56.6494272717705,,,,,59.233721440885894,,59.233721440885894,
1520208000,11479.9675,11662.5375,11380.865,11407.6725,28851.44781875,58.523732033429646,58.29711238982837,57.47326983079944,,,,,,,,
1520294400,11405.4475,11413.82,10560.0175,10713.0325,48442.61620452,51.915441706621806,55.10627704822509,56.28977343951226,,,,,,,,
1520380800,10709.57,10900.9425,9403.275,9905.0725,83814.93382405,45.48241474238955,50.294345895307316,53.29205966740979,,,,,,,,
1520467200,9905.6175,10117.175,9044.7375,9291.4725,66583.55470787,41.297183789208965,45.79576484225814,49.54391225483396,,,,,,,,
1520553600,9296.865,9416.875,8376.5,9246.625,101768.97984849,41.00022259565913,43.39799371895863,46.47095298689629,,,,,,,,
1520640000,9241.335,9516.035,8700.27,8777.0275,45209.68050044,37.924996613648545,40.66149516630359,43.56622407659994,37.924996613648545,,37.924996613648545,,,,,
1520726400,8779.0275,9761.4475,8486.2625,9531.515,55958.09929415,45.05558446423311,42.858539815268344,43.21238194593414,,,,,45.05558446423311,,45.05558446423311,
1520812800,9534.0825,9894.975,8759.94,9113.485,60639.80879094,42.165528731207864,42.5120342732381,42.86220810958612,42.165528731207864,,42.165528731207864,,,,,
1520899200,9113.8825,9483.1675,8836.875,9143.8875,50433.12581604,42.45463298702986,42.483333630133984,42.67277086986005,,,,,42.45463298702986,,42.45463298702986,
1520985600,9146.5875,9358.3,7927.9125,8194.185,82092.73359495,36.34306998442815,39.41320180728107,41.04298633857056,36.34306998442815,,36.34306998442815,,,,,
1521072000,8193.8125,8416.73,7661.1875,8260.1575,73963.98571898,37.021306075272975,38.21725394127702,39.63012013992379,,,,,,,,
1521158400,8257.5025,8608.7925,7896.1225,8263.8375,52068.14895906,37.06158895787723,37.63942144957713,38.63477079475046,,,,,37.06158895787723,,37.06158895787723,
1521244800,8262.1575,8349.055,7732.9325,7860.585,41198.21560804,34.46045994195447,36.0499406957658,37.34235574525813,34.46045994195447,,34.46045994195447,,,,,
1521331200,7856.3225,8293.4375,7314.8425,8190.1825,77837.93424734,38.27374532533455,37.16184301055017,37.25209937790415,,,,,,,,
1521417600,8194.5075,8750.23,8101.545,8598.785,67882.31981565,42.72291169517396,39.94237735286207,38.597238365383106,,,,,,,,
1521504000,8596.1975,9042.815,8315.4275,8903.3125,53514.10413502,45.85529494438422,42.89883614862315,40.748037257003126,,,,,45.85529494438422,,45.85529494438422,
1521590400,8906.735,9182.975,8751.2075,8892.0325,45029.81865469,45.75547798807911,44.32715706835113,42.53759716267713,,,,,,,,
1521676800,8890.7475,9097.43,8488.1025,8710.45,44592.9422519,44.091604470981125,44.209380769666126,43.37348896617163,44.091604470981125,,44.091604470981125,,,,,
1521763200,8710.805,8927.1275,8274.5125,8922.4225,45291.93075784,46.53577069210445,45.37257573088529,44.373032348528454,,,,,46.53577069210445,,46.53577069210445,
1521849600,8922.0475,9012.25,8498.25,8537.1675,31416.36894755,42.867702801188585,44.12013926603694,44.2465858072827,,,,,,,,
1521936000,8532.615,8678.825,8368.095,8452.075,27963.81561043,42.07876792999044,43.09945359801369,43.67301970264819,,,,,,,,
1522022400,8453.6575,8498.3575,7840.775,8143.28,54398.65093501,39.255360392029054,41.17740699502137,42.42521334883478,,,,,,,,
1522108800,8146.1025,8220.85,7740.1775,7791.6175,44110.77856799,36.27062346618304,38.724015230602205,40.5746142897185,36.27062346618304,,36.27062346618304,,,,,
1522195200,7792.47,8100.62,7732.155,7940.075,31813.35094093,38.39998154111801,38.56199838586011,39.5683063377893,,,,,38.39998154111801,,38.39998154111801,
1522281600,7938.2575,7966.25,6905.6325,7083.7675,82511.51208159,31.799928055806376,35.18096322083324,37.37463477931127,,,,,,,,
1522368000,7082.3125,7273.4,6575,6835.18,91502.9633023,30.178320610097558,32.679641915465396,35.02713834738833,30.178320610097558,,30.178320610097558,,,,,
1522454400,6832.585,7218.475,6784.1675,6922.18,40804.88420163,31.4949597682688,32.0873008418671,33.55721959462771,,,,,31.4949597682688,,31.4949597682688,
1522540800,6923.4725,7042.6675,6442.2625,6812.6375,52485.23802946,30.709723303293273,31.398512072580186,32.47786583360395,30.709723303293273,30.709723303293273,30.709723303293273,,,,,
1522627200,6815.535,7113.6025,6766.27,7050.615,42700.392636,34.52871072141275,32.96361139699647,32.720738615300206,,,,,,,,
1522713600,7050.59,7514.135,7012.0125,7418.625,54619.65304992,40.03294671630146,36.49827905664897,34.60950883597459,,,,,40.03294671630146,,40.03294671630146,
1522800000,7417.265,7427.1725,6706.335,6794.085,50802.85772889,34.701131271932596,35.59970516429078,35.10460700013269,,,,,,,,
1522886400,6793.94,6930.155,6568.4225,6774.51,46331.38537677,34.54582844648628,35.07276680538853,35.088686902760614,,,,,,,,
1522972800,6774.98,6848.25,6511.6675,6611.62,32318.09738004,33.21374654735084,34.14325667636969,34.61597178956515,33.21374654735084,,33.21374654735084,,,,,
1523059200,6615.775,7070.1625,6602.69,6897,29059.04653322,37.74310377036136,35.94318022336552,35.279576006465334,,,,,,,,
1523145600,6894.8,7104.5275,6885.725,7021.1225,17532.46529566,39.65986251075583,37.80152136706067,36.540548686763,,,,,39.65986251075583,,39.65986251075583,
1523232000,7026.335,7177.1125,6612.285,6773.91,38615.17007353,37.20309715716965,37.50230926211516,37.02142897443908,37.20309715716965,,37.20309715716965,,,,,
1523318400,6775.9125,6889.405,6653.08,6830.335,22853.85267858,38.14492951108331,37.82361938659923,37.42252418051916,,,,,,,,
1523404800,6827.845,6973.69,6803.7375,6941.09,21306.6294894,40.04571057888753,38.934664982743385,38.17859458163127,,,,,,,,
1523491200,6941.0675,8174.0425,6762.85,7920.0175,75152.91366631,53.61377005954932,46.274217521146355,42.226406051388814,,,,,53.61377005954932,,53.61377005954932,
1523577600,7919.9375,8230.8275,7746.6875,7887.1375,59637.18052413,53.17845950772271,49.72633851443453,45.97637228291167,53.17845950772271,,53.17845950772271,,,,,
1523664000,7884.3575,8193.325,7825.4675,8001.6225,25306.62155028,54.56185050825926,52.14409451134689,49.06023339712928,,,,,,,,
1523750400,8002.395,8411.2475,7999.7525,8357.55,23691.28021318,58.65210466745707,55.39809958940198,52.22916649326563,,,,,58.65210466745707,,58.65210466745707,
1523836800,8360.46,8417.1925,7903.2475,8051.6125,34828.14017715,54.140723074272806,54.76941133183739,53.499288912551506,,,,,,,,
1523923200,8053.95,8167.455,7812.28,7891.5925,28149.71791124,51.89241370608638,53.33091251896188,53.415100715756694,51.89241370608638,,51.89241370608638,,,,,
1524009600,7891.5725,8253.5775,7873.7875,8165.4725,33095.3987837,55.312878579770754,54.32189554936632,53.868498132561506,,,,,,,,
1524096000,8165.995,8300.43,8091.4025,8272.5775,27734.49659519,56.61207425206243,55.46698490071437,54.66774151663794,,,,,,,,
1524182400,8270.95,8935.6325,8218.5275,8862.335,44978.01869306,62.99225796195619,59.22962143133528,56.94868147398661,,,,,,,,
1524268800,8862.85,9043.8175,8612.52,8925.1825,35886.13197492,63.60642740287965,61.41802441710747,59.18335294554704,,,,,63.60642740287965,,63.60642740287965,
1524355200,8925.0125,9035.13,8757.3775,8799.1925,22633.12177574,61.40633194718855,61.41217818214801,60.29776556384753,61.40633194718855,,61.40633194718855,,,,,
1524441600,8793,9004.8725,8776.555,8941.3375,24693.26964691,62.962864151688436,62.18752116691822,61.242643365382875,,,,,,,,
1524528000,8941.3275,9738.9225,8933,9651.1975,55110.42681432,69.5644591530658,65.87599015999201,63.559316762687445,,,,,69.5644591530658,,69.5644591530658,
1524614400,9651.265,9757.9425,8718.8575,8862.92,85968.41895525,57.34160947178669,61.608799815889356,62.5840582892884,57.34160947178669,,57.34160947178669,,,,,
1524700800,8860.7875,9315.0075,8630.5725,9279.7375,47441.20385253,61.22156569328277,61.41518275458606,61.99962052193723,,,,,61.22156569328277,,61.22156569328277,
1524787200,9277.9025,9376.68,8901.04,8921.945,33197.41801504,56.47329510587424,58.944238930230156,60.471929726083694,56.47329510587424,,56.47329510587424,,,,,
1524873600,8919.4725,9437.2075,8865.725,9339.5325,31677.71237656,60.33954288856624,59.6418909093982,60.05691031774094,,,,,,,,
1524960000,9337.5275,9527.8425,9175.4375,9396.8725,24616.89419975,60.85372763428055,60.24780927183937,60.15235979479016,,,,,60.85372763428055,60.85372763428055,60.85372763428055,
1525046400,9396.505,9446.4425,9110.645,9243.395,23997.58155988,58.66149659425292,59.45465293304615,59.80350636391815,,,,,,,,
1525132800,9245.66,9247.665,8823.3,9070.0825,32800.76540577,56.19942399617041,57.82703846460828,58.81527241426322,56.19942399617041,,56.19942399617041,,,,,
1525219200,9068.375,9257.8025,8979.8075,9210.32,25657.29423441,57.74484349679636,57.78594098070232,58.30060669748277,,,,,,,,
1525305600,9216.425,9796.475,9157.385,9730.3925,37323.92725205,62.96373387567187,60.37483742818709,59.33772206283493,,,,,62.96373387567187,,62.96373387567187,
1525392000,9730.955,9772.4075,9499.47,9690.46,26251.36397152,62.327197316677974,61.35101737243254,60.34436971763373,62.327197316677974,,62.327197316677974,,,,,
1525478400,9687.03,9949.775,9616.1575,9807.7725,22700.75211042,63.4947869694506,62.42290217094157,61.38363594428765,,,,,63.4947869694506,,63.4947869694506,
1525564800,9808.41,9896.8525,9382,9607.08,20426.80462163,60.065088315491764,61.243995243216666,61.31381559375215,,,,,,,,
1525651200,9606.715,9624.7525,9178.2125,9359.5825,30567.52599355,56.044624021743054,58.64430963247986,59.97906261311601,,,,,,,,
1525737600,9357.0025,9455.4325,9041.25,9174.905,26800.70823507,53.18398650014879,55.914148066314326,57.94660533971516,53.18398650014879,,53.18398650014879,,,,,
1525824000,9179.765,9390.535,8961.97,9305.605,27909.09927389,54.937038834675235,55.42559345049478,56.686099395104975,,,,,54.937038834675235,,54.937038834675235,
1525910400,9304.695,9390.8,8996.3125,9015.02,25432.68451881,50.416832143363656,52.92121279692922,54.80365609601709,,,,,,,,
1525996800,9011.27,9015.185,8344.295,8405.2475,49845.56824348,42.512134179568484,47.71667348824885,51.26016479213297,42.512134179568484,,42.512134179568484,,,,,
1526083200,8412.0225,8652.2775,8219.11,8475.4775,34651.19892857,43.6087659965297,45.66271974238927,48.46144226726112,,,,,,,,
1526169600,8479.865,8763.705,8334.64,8691.595,21169.81960514,46.96170868589754,46.31221421414341,47.386828240702265,,,,,46.96170868589754,,46.96170868589754,
1526256000,8693.46,8891.7075,8286.5525,8671.9725,43707.67039004,46.69025865349895,46.50123643382118,46.94403233726172,,,,,,,,
