"Market","Side","Type","Size","Price","Order Type","Trade Type","PnL","Fees","Date Time"
"SOL-PERP","buy","","0.3","95.618","limit","trade","-0.110548","0.022948","2024-02-01T13:37:35.000Z"
"SOL-PERP","sell","","0.3","95.326","limit","trade","-0.022878","0.022878","2024-02-01T13:21:59.000Z"
"SOL-PERP","buy","","0.3","95.187","limit","trade","-0.027945","0.022845","2024-02-01T13:17:52.000Z"
"SOL-PERP","sell","","0.3","95.17","limit","trade","-0.022841","0.022841","2024-02-01T12:54:41.000Z"
"SOL-PERP","buy","","0.4","95.255","limit","trade","0.119125","0.030475","2024-02-01T12:40:38.000Z"
"SOL-PERP","buy","","0.5","95.218","limit","trade","0.167407","0.038093","2024-02-01T12:40:38.000Z"
"SOL-PERP","sell","","0.3","95.603","limit","trade","-0.022951","0.022951","2024-02-01T12:28:18.000Z"
"SOL-PERP","sell","","0.6","95.642","limit","trade","-0.045902","0.045902","2024-02-01T12:28:18.000Z"
"SOL-PERP","buy","","0.4","95.531","limit","trade","-0.07177","0.03057","2024-02-01T12:27:05.000Z"
"SOL-PERP","sell","","0.4","95.428","limit","trade","-0.030537","0.030537","2024-02-01T12:08:26.000Z"
"SOL-PERP","buy","","0.2","95.493","limit","trade","0.110469","0.015274","2024-02-01T11:56:25.000Z"
"SOL-PERP","buy","","0.5","95.457","limit","trade","0.29417","0.038187","2024-02-01T11:56:25.000Z"
"SOL-PERP","sell","","0.2","96.111","limit","trade","-0.015379","0.015379","2024-02-01T11:38:37.000Z"
"SOL-PERP","sell","","0.5","96.126","limit","trade","-0.038448","0.038448","2024-02-01T11:38:37.000Z"
"SOL-PERP","buy","","0.3","95.955","limit","trade","0.03548","0.02302","2024-02-01T11:35:00.000Z"
"SOL-PERP","buy","","0.5","95.894","limit","trade","0.089634","0.038366","2024-02-01T11:35:00.000Z"
"SOL-PERP","sell","","0.8","96.15","limit","trade","-0.061536","0.061536","2024-02-01T11:10:16.000Z"
"SOL-PERP","buy","","0.4","96.38","limit","trade","-0.095642","0.030842","2024-02-01T10:54:54.000Z"
"SOL-PERP","sell","","0.4","96.218","limit","trade","-0.03079","0.03079","2024-02-01T10:41:58.000Z"
"SOL-PERP","buy","","0.5","96.33","limit","trade","-0.288532","0.038532","2024-02-01T10:21:16.000Z"
"SOL-PERP","sell","","0.5","95.83","limit","trade","-0.038332","0.038332","2024-02-01T09:55:36.000Z"
"SOL-PERP","buy","","0.5","95.392","limit","trade","-0.156657","0.038157","2024-02-01T07:43:26.000Z"
"SOL-PERP","sell","","0.5","95.155","limit","trade","-0.038062","0.038062","2024-02-01T07:25:57.000Z"
"SOL-PERP","buy","","0.7","94.63","limit","trade","-0.075393","0.052993","2024-02-01T07:09:54.000Z"
"SOL-PERP","sell","","0.7","94.598","limit","trade","-0.052975","0.052975","2024-02-01T06:51:26.000Z"
"SOL-PERP","buy","","1","94.834","limit","trade","-0.417867","0.075867","2024-02-01T06:39:50.000Z"
"SOL-PERP","sell","","0.5","94.482","limit","trade","-0.037797","0.037797","2024-02-01T06:17:58.000Z"
"SOL-PERP","sell","","0.5","94.502","limit","trade","-0.037797","0.037797","2024-02-01T06:17:58.000Z"
"SOL-PERP","buy","","0.9","94.217","limit","trade","-0.195937","0.067836","2024-02-01T06:02:43.000Z"
"SOL-PERP","sell","","0.3","94.06","limit","trade","-0.022577","0.022577","2024-02-01T05:48:30.000Z"
"SOL-PERP","sell","","0.6","94.082","limit","trade","-0.045155","0.045155","2024-02-01T05:48:30.000Z"
