"Market","Side","Type","Size","Price","Order Type","Trade Type","PnL","Fees","Date Time"
"SOL-PERP","sell","","0.3","100.421","limit","trade","-0.024101","0.024101","2024-02-02T08:41:15.000Z"
"SOL-PERP","buy","","0.3","101.163","limit","trade","-0.093279","0.024279","2024-02-02T08:06:45.000Z"
"SOL-PERP","sell","","0.3","100.933","limit","trade","-0.024224","0.024224","2024-02-02T07:52:50.000Z"
"SOL-PERP","buy","","0.8","100.433","limit","trade","-0.211477","0.064277","2024-02-02T07:41:44.000Z"
"SOL-PERP","sell","","0.8","100.249","limit","trade","-0.064159","0.064159","2024-02-02T07:18:10.000Z"
"SOL-PERP","buy","","0.3","100.153","limit","trade","-0.179132","0.024032","2024-02-02T06:54:56.000Z"
"SOL-PERP","buy","","0.5","100.124","limit","trade","-0.284054","0.040054","2024-02-02T06:54:56.000Z"
"SOL-PERP","sell","","0.8","99.636","limit","trade","-0.063767","0.063767","2024-02-02T06:36:22.000Z"
"SOL-PERP","buy","","0.9","99.779","limit","trade","-0.453441","0.071841","2024-02-02T06:20:58.000Z"
"SOL-PERP","sell","","0.9","99.355","limit","trade","-0.071536","0.071536","2024-02-02T06:02:58.000Z"
"SOL-PERP","buy","","0.7","99","limit","trade","-0.28644","0.05544","2024-02-02T05:44:44.000Z"
"SOL-PERP","sell","","0.7","98.67","limit","trade","-0.055255","0.055255","2024-02-02T05:31:09.000Z"
"SOL-PERP","buy","","0.6","98.61","limit","trade","0.390267","0.047333","2024-02-02T05:13:13.000Z"
"SOL-PERP","sell","","0.1","99.311","limit","trade","-0.007947","0.007947","2024-02-02T04:51:12.000Z"
"SOL-PERP","sell","","0.5","99.345","limit","trade","-0.039735","0.039735","2024-02-02T04:51:12.000Z"
"SOL-PERP","buy","","1","99.259","limit","trade","-0.564407","0.079407","2024-02-02T04:29:33.000Z"
"SOL-PERP","sell","","1","98.774","limit","trade","-0.079019","0.079019","2024-02-02T04:16:08.000Z"
"SOL-PERP","buy","","0.6","99.351","limit","trade","-0.029088","0.047688","2024-02-02T03:05:09.000Z"
"SOL-PERP","sell","","0.6","99.382","limit","trade","-0.047703","0.047703","2024-02-02T02:52:36.000Z"
"SOL-PERP","buy","","0.5","98.708","limit","trade","-0.093483","0.039483","2024-02-02T02:16:30.000Z"
