"Market","Side","Type","Size","Price","Order Type","Trade Type","PnL","Fees","Date Time"
"SOL-PERP","buy","","0.6","95.544","limit","trade","-0.404061","0.045861","2024-02-05T21:45:04.000Z"
"SOL-PERP","sell","","0.6","94.947","limit","trade","-0.045575","0.045575","2024-02-05T21:36:47.000Z"
"SOL-PERP","buy","","0.4","95.206","limit","trade","0.198334","0.030466","2024-02-05T21:24:32.000Z"
"SOL-PERP","sell","","0.4","95.778","limit","trade","-0.030649","0.030649","2024-02-05T21:01:11.000Z"
"SOL-PERP","buy","","0.7","95.719","limit","trade","-0.175403","0.053603","2024-02-05T20:50:11.000Z"
"SOL-PERP","sell","","0.7","95.545","limit","trade","-0.053505","0.053505","2024-02-05T20:32:55.000Z"
"SOL-PERP","buy","","0.8","95.419","limit","trade","0.458932","0.061068","2024-02-05T20:14:17.000Z"
"SOL-PERP","sell","","0.8","96.069","limit","trade","-0.061484","0.061484","2024-02-05T19:48:54.000Z"
"SOL-PERP","buy","","0.7","96.384","limit","trade","-0.130975","0.053975","2024-02-05T19:31:43.000Z"
"SOL-PERP","sell","","0.7","96.274","limit","trade","-0.053913","0.053913","2024-02-05T19:20:53.000Z"
"SOL-PERP","buy","","0.7","95.965","limit","trade","-0.33724","0.05374","2024-02-05T19:03:36.000Z"
"SOL-PERP","sell","","0.7","95.56","limit","trade","-0.053514","0.053514","2024-02-05T18:49:57.000Z"
"SOL-PERP","buy","","0.5","95.588","limit","trade","0.009765","0.038235","2024-02-05T18:28:15.000Z"
"SOL-PERP","sell","","0.5","95.684","limit","trade","-0.038274","0.038274","2024-02-05T18:04:52.000Z"
"SOL-PERP","buy","","0.6","96.154","limit","trade","-0.206954","0.046154","2024-02-05T17:39:28.000Z"
"SOL-PERP","sell","","0.6","95.886","limit","trade","-0.046025","0.046025","2024-02-05T17:26:45.000Z"
"SOL-PERP","buy","","0.6","96.095","limit","trade","-0.353926","0.046126","2024-02-05T17:01:36.000Z"
"SOL-PERP","sell","","0.6","95.582","limit","trade","-0.045879","0.045879","2024-02-05T16:40:10.000Z"
"SOL-PERP","buy","","0.5","95.93","limit","trade","-0.341372","0.038372","2024-02-05T16:16:01.000Z"
"SOL-PERP","sell","","0.5","95.324","limit","trade","-0.03813","0.03813","2024-02-05T15:56:30.000Z"
"SOL-PERP","buy","","0.6","96.706","limit","trade","-0.058419","0.046419","2024-02-05T15:36:01.000Z"
"SOL-PERP","sell","","0.6","96.686","limit","trade","-0.046409","0.046409","2024-02-05T15:21:29.000Z"
"SOL-PERP","buy","","0.2","97.262","limit","trade","0.091642","0.015558","2024-02-05T15:05:43.000Z"
"SOL-PERP","buy","","0.6","97.235","limit","trade","0.291124","0.046676","2024-02-05T15:05:43.000Z"
"SOL-PERP","sell","","0.8","97.798","limit","trade","-0.062591","0.062591","2024-02-05T14:49:36.000Z"
"SOL-PERP","buy","","0.7","97.923","limit","trade","-0.051337","0.054837","2024-02-05T14:47:33.000Z"
"SOL-PERP","sell","","0.7","97.928","limit","trade","-0.05484","0.05484","2024-02-05T14:29:05.000Z"
"SOL-PERP","buy","","0.9","98.206","limit","trade","-0.254308","0.070708","2024-02-05T14:14:05.000Z"
"SOL-PERP","sell","","0.9","98.002","limit","trade","-0.070561","0.070561","2024-02-05T13:52:49.000Z"
"SOL-PERP","buy","","0.9","98.007","limit","trade","-0.620465","0.070565","2024-02-05T13:27:46.000Z"
"SOL-PERP","sell","","0.9","97.396","limit","trade","-0.070125","0.070125","2024-02-05T13:09:17.000Z"
"SOL-PERP","buy","","0.6","97.627","limit","trade","-0.199261","0.046861","2024-02-05T12:54:37.000Z"
"SOL-PERP","sell","","0.6","97.373","limit","trade","-0.046739","0.046739","2024-02-05T12:29:40.000Z"
"SOL-PERP","buy","","0.7","97.981","limit","trade","-0.283069","0.054869","2024-02-05T12:06:59.000Z"
"SOL-PERP","sell","","0.7","97.655","limit","trade","-0.054687","0.054687","2024-02-05T11:44:32.000Z"
"SOL-PERP","buy","","0.6","97.684","limit","trade","0.053312","0.046888","2024-02-05T11:24:01.000Z"
"SOL-PERP","sell","","0.6","97.851","limit","trade","-0.046968","0.046968","2024-02-05T11:02:24.000Z"
"SOL-PERP","buy","","0.5","97.748","limit","trade","-0.006199","0.039099","2024-02-05T10:46:22.000Z"
"SOL-PERP","sell","","0.3","97.803","limit","trade","-0.023475","0.023475","2024-02-05T10:34:49.000Z"
"SOL-PERP","sell","","0.2","97.83","limit","trade","-0.01565","0.01565","2024-02-05T10:34:49.000Z"
"SOL-PERP","buy","","0.7","97.667","limit","trade","-0.428194","0.054694","2024-02-05T10:11:36.000Z"
