"Market","Side","Type","Size","Price","Order Type","Trade Type","PnL","Fees","Date Time"
"SOL-PERP","buy","","2","97.073","limit","trade","-0.835316","0.155316","2024-02-05T07:26:30.000Z"
"SOL-PERP","sell","","1","96.733","limit","trade","-0.077386","0.077386","2024-02-05T07:07:02.000Z"
"SOL-PERP","buy","","0.6","96.613","limit","trade","-0.245174","0.046374","2024-02-05T06:54:57.000Z"
"SOL-PERP","sell","","0.1","96.26","limit","trade","-0.007702","0.007702","2024-02-05T06:33:22.000Z"
"SOL-PERP","sell","","0.5","96.286","limit","trade","-0.038512","0.038512","2024-02-05T06:33:22.000Z"
"SOL-PERP","buy","","0.3","96.17","limit","trade","-0.053081","0.023081","2024-02-05T06:16:23.000Z"
"SOL-PERP","sell","","0.3","96.07","limit","trade","-0.023057","0.023057","2024-02-05T05:55:15.000Z"
"SOL-PERP","buy","","0.5","95.856","limit","trade","0.018658","0.038342","2024-02-05T05:36:58.000Z"
"SOL-PERP","sell","","0.5","95.97","limit","trade","-0.038388","0.038388","2024-02-05T05:16:45.000Z"
"SOL-PERP","buy","","0.8","96.372","limit","trade","0.039122","0.061678","2024-02-05T04:55:12.000Z"
"SOL-PERP","sell","","0.8","96.498","limit","trade","-0.061759","0.061759","2024-02-05T04:30:16.000Z"
"SOL-PERP","buy","","0.3","96.409","limit","trade","-0.208838","0.023138","2024-02-05T04:15:52.000Z"
"SOL-PERP","sell","","0.3","95.79","limit","trade","-0.02299","0.02299","2024-02-05T03:54:15.000Z"
"SOL-PERP","buy","","0.4","95.657","limit","trade","-0.11701","0.03061","2024-02-05T03:36:31.000Z"
"SOL-PERP","sell","","0.4","95.441","limit","trade","-0.030541","0.030541","2024-02-05T03:22:59.000Z"
"SOL-PERP","buy","","0.3","95.179","limit","trade","-0.081043","0.022843","2024-02-05T03:01:56.000Z"
"SOL-PERP","sell","","0.3","94.985","limit","trade","-0.022796","0.022796","2024-02-05T02:47:22.000Z"
"SOL-PERP","buy","","0.6","94.801","limit","trade","0.218496","0.045504","2024-02-05T02:34:15.000Z"
"SOL-PERP","sell","","0.6","95.241","limit","trade","-0.045716","0.045716","2024-02-05T02:14:08.000Z"
"SOL-PERP","buy","","0.4","95.121","limit","trade","-0.020439","0.030439","2024-02-05T01:56:50.000Z"
"SOL-PERP","sell","","0.4","95.146","limit","trade","-0.030447","0.030447","2024-02-05T01:44:22.000Z"
"SOL-PERP","buy","","0.7","94.857","limit","trade","-0.24772","0.05312","2024-02-05T01:29:36.000Z"
"SOL-PERP","sell","","0.7","94.579","limit","trade","-0.052964","0.052964","2024-02-05T01:16:32.000Z"
"SOL-PERP","buy","","0.6","95.399","limit","trade","-0.116092","0.045792","2024-02-05T00:57:20.000Z"
"SOL-PERP","sell","","0.1","95.246","limit","trade","-0.007622","0.007622","2024-02-05T00:41:09.000Z"
"SOL-PERP","sell","","0.5","95.289","limit","trade","-0.038113","0.038113","2024-02-05T00:41:09.000Z"
"SOL-PERP","buy","","0.3","95.499","limit","trade","-0.03762","0.02292","2024-02-05T00:20:36.000Z"
"SOL-PERP","sell","","0.3","95.45","limit","trade","-0.022908","0.022908","2024-02-05T00:03:58.000Z"
"SOL-PERP","buy","","0.9","95.272","limit","trade","0.092504","0.068596","2024-02-04T23:42:27.000Z"
"SOL-PERP","sell","","0.9","95.451","limit","trade","-0.068725","0.068725","2024-02-04T23:18:38.000Z"
"SOL-PERP","buy","","0.8","95.71","limit","trade","-0.407654","0.061254","2024-02-04T22:56:44.000Z"
"SOL-PERP","sell","","0.8","95.277","limit","trade","-0.060977","0.060977","2024-02-04T22:43:21.000Z"
"SOL-PERP","buy","","0.6","95.755","limit","trade","0.195438","0.045962","2024-02-04T22:26:48.000Z"
"SOL-PERP","sell","","0.1","96.119","limit","trade","-0.007692","0.007692","2024-02-04T22:03:21.000Z"
"SOL-PERP","sell","","0.5","96.165","limit","trade","-0.038463","0.038463","2024-02-04T22:03:21.000Z"
"SOL-PERP","buy","","0.9","96.336","limit","trade","0.026038","0.069362","2024-02-04T21:46:06.000Z"
"SOL-PERP","sell","","0.3","96.406","limit","trade","-0.023146","0.023146","2024-02-04T21:29:32.000Z"
"SOL-PERP","sell","","0.6","96.46","limit","trade","-0.046292","0.046292","2024-02-04T21:29:32.000Z"
"SOL-PERP","buy","","0.5","96.756","limit","trade","-0.330202","0.038702","2024-02-04T21:10:10.000Z"
"SOL-PERP","sell","","0.5","96.173","limit","trade","-0.038469","0.038469","2024-02-04T20:51:23.000Z"
"SOL-PERP","buy","","0.9","96.04","limit","trade","0.228151","0.069149","2024-02-04T20:30:08.000Z"
"SOL-PERP","sell","","0.3","96.363","limit","trade","-0.023129","0.023129","2024-02-04T20:06:32.000Z"
"SOL-PERP","sell","","0.6","96.374","limit","trade","-0.046258","0.046258","2024-02-04T20:06:32.000Z"
"SOL-PERP","buy","","0.7","96.412","limit","trade","-0.048391","0.053991","2024-02-04T19:54:13.000Z"
"SOL-PERP","sell","","0.7","96.42","limit","trade","-0.053995","0.053995","2024-02-04T19:38:08.000Z"
"SOL-PERP","buy","","0.8","96.31","limit","trade","-0.057638","0.061638","2024-02-04T19:25:05.000Z"
"SOL-PERP","sell","","0.8","96.315","limit","trade","-0.061642","0.061642","2024-02-04T19:12:57.000Z"
"SOL-PERP","buy","","1","96.569","limit","trade","0.056745","0.077255","2024-02-04T18:49:49.000Z"
"SOL-PERP","sell","","1","96.703","limit","trade","-0.077362","0.077362","2024-02-04T18:37:12.000Z"
"SOL-PERP","buy","","0.7","96.769","limit","trade","0.104009","0.054191","2024-02-04T18:24:46.000Z"
"SOL-PERP","sell","","0.7","96.995","limit","trade","-0.054317","0.054317","2024-02-04T17:59:47.000Z"
"SOL-PERP","buy","","0.7","97.301","limit","trade","-0.164389","0.054489","2024-02-04T17:45:08.000Z"
"SOL-PERP","sell","","0.7","97.144","limit","trade","-0.054401","0.054401","2024-02-04T17:30:58.000Z"
"SOL-PERP","buy","","0.4","97.294","limit","trade","-0.005534","0.031134","2024-02-04T17:18:40.000Z"
"SOL-PERP","sell","","0.4","97.358","limit","trade","-0.031155","0.031155","2024-02-04T16:55:11.000Z"
"SOL-PERP","buy","","0.5","97.398","limit","trade","-0.031459","0.038959","2024-02-04T16:32:45.000Z"
"SOL-PERP","sell","","0.5","97.413","limit","trade","-0.038965","0.038965","2024-02-04T16:17:50.000Z"
"SOL-PERP","buy","","0.5","97.551","limit","trade","-0.06302","0.03902","2024-02-04T15:53:49.000Z"
"SOL-PERP","sell","","0.5","97.503","limit","trade","-0.039001","0.039001","2024-02-04T15:36:21.000Z"
"SOL-PERP","buy","","0.5","97.497","limit","trade","-0.028999","0.038999","2024-02-04T15:19:42.000Z"
"SOL-PERP","sell","","0.5","97.517","limit","trade","-0.039007","0.039007","2024-02-04T14:54:59.000Z"
"SOL-PERP","buy","","0.4","97.808","limit","trade","-0.006899","0.031299","2024-02-04T14:42:42.000Z"
"SOL-PERP","sell","","0.4","97.869","limit","trade","-0.031318","0.031318","2024-02-04T14:23:14.000Z"
"SOL-PERP","buy","","0.5","97.866","limit","trade","-0.141646","0.039146","2024-02-04T14:11:07.000Z"
"SOL-PERP","sell","","0.5","97.661","limit","trade","-0.039064","0.039064","2024-02-04T13:47:58.000Z"
"SOL-PERP","buy","","0.3","97.894","limit","trade","-0.059495","0.023495","2024-02-04T13:35:12.000Z"
