"Market","Side","Type","Size","Price","Order Type","Trade Type","PnL","Fees","Date Time"
"SOL-PERP","buy","","0.6","99.491","limit","trade","-0.298556","0.047756","2024-02-02T03:13:07.000Z"
"SOL-PERP","sell","","0.6","99.073","limit","trade","-0.047555","0.047555","2024-02-02T02:52:20.000Z"
"SOL-PERP","buy","","0.3","98.612","limit","trade","-0.008667","0.023667","2024-02-02T02:21:21.000Z"
"SOL-PERP","sell","","0.3","98.662","limit","trade","-0.023679","0.023679","2024-02-02T01:58:52.000Z"
"SOL-PERP","buy","","0.9","99","limit","trade","-0.05748","0.07128","2024-02-02T01:24:37.000Z"
"SOL-PERP","sell","","0.6","99.015","limit","trade","-0.047527","0.047527","2024-02-02T01:06:56.000Z"
"SOL-PERP","sell","","0.3","99.016","limit","trade","-0.023763","0.023763","2024-02-02T01:06:56.000Z"
"SOL-PERP","buy","","0.5","99.277","limit","trade","-0.135711","0.039711","2024-02-02T00:43:48.000Z"
"SOL-PERP","sell","","0.5","99.085","limit","trade","-0.039634","0.039634","2024-02-02T00:32:21.000Z"
"SOL-PERP","buy","","0.7","98","limit","trade","-0.211581","0.05488","2024-02-02T00:14:40.000Z"
"SOL-PERP","sell","","0.2","97.749","limit","trade","-0.015644","0.015644","2024-02-01T23:55:48.000Z"
"SOL-PERP","sell","","0.5","97.787","limit","trade","-0.03911","0.03911","2024-02-01T23:55:48.000Z"
"SOL-PERP","buy","","0.7","97.587","limit","trade","-0.317849","0.054649","2024-02-01T23:37:05.000Z"
"SOL-PERP","sell","","0.7","97.211","limit","trade","-0.054438","0.054438","2024-02-01T23:12:34.000Z"
"SOL-PERP","buy","","0.2","97.222","limit","trade","-0.041953","0.015553","2024-02-01T22:58:08.000Z"
"SOL-PERP","buy","","0.5","97.204","limit","trade","-0.095884","0.038884","2024-02-01T22:58:08.000Z"
"SOL-PERP","sell","","0.7","97.09","limit","trade","-0.05437","0.05437","2024-02-01T22:45:23.000Z"
"SOL-PERP","buy","","0.5","97.335","limit","trade","0.099573","0.038927","2024-02-01T22:28:17.000Z"
"SOL-PERP","buy","","0.5","97.303","limit","trade","0.115573","0.038927","2024-02-01T22:28:17.000Z"
"SOL-PERP","sell","","1","97.612","limit","trade","-0.07809","0.07809","2024-02-01T22:03:22.000Z"
"SOL-PERP","buy","","0.4","97.83","limit","trade","-0.178906","0.031306","2024-02-01T21:48:16.000Z"
"SOL-PERP","sell","","0.4","97.461","limit","trade","-0.031188","0.031188","2024-02-01T21:31:41.000Z"
"SOL-PERP","buy","","0.5","97.646","limit","trade","-1.049058","0.039058","2024-02-01T21:30:32.000Z"
"SOL-PERP","sell","","0.5","95.626","limit","trade","-0.03825","0.03825","2024-02-01T13:39:06.000Z"
"SOL-PERP","buy","","0.3","95.017","limit","trade","0.028196","0.022804","2024-02-01T13:07:50.000Z"
"SOL-PERP","sell","","0.3","95.187","limit","trade","-0.022845","0.022845","2024-02-01T12:43:59.000Z"
"SOL-PERP","buy","","0.5","95.253","limit","trade","0.085399","0.038101","2024-02-01T12:42:39.000Z"
"SOL-PERP","sell","","0.5","95.5","limit","trade","-0.0382","0.0382","2024-02-01T12:26:25.000Z"
"SOL-PERP","buy","","0.3","95.59","limit","trade","-0.051434","0.022934","2024-02-01T12:25:15.000Z"
"SOL-PERP","buy","","0.5","95.541","limit","trade","-0.061223","0.038223","2024-02-01T12:25:15.000Z"
"SOL-PERP","sell","","0.8","95.495","limit","trade","-0.061117","0.061117","2024-02-01T12:10:59.000Z"
"SOL-PERP","buy","","0.9","95.509","limit","trade","-0.051666","0.068766","2024-02-01T12:04:02.000Z"
"SOL-PERP","sell","","0.9","95.528","limit","trade","-0.06878","0.06878","2024-02-01T11:49:57.000Z"
"SOL-PERP","buy","","0.8","95.92","limit","trade","-0.252289","0.061389","2024-02-01T11:44:45.000Z"
"SOL-PERP","sell","","0.3","95.647","limit","trade","-0.022963","0.022963","2024-02-01T11:28:32.000Z"
"SOL-PERP","sell","","0.5","95.702","limit","trade","-0.038272","0.038272","2024-02-01T11:28:32.000Z"
"SOL-PERP","buy","","0.6","96.195","limit","trade","-0.073174","0.046174","2024-02-01T11:04:30.000Z"
"SOL-PERP","sell","","0.6","96.15","limit","trade","-0.046152","0.046152","2024-02-01T10:49:41.000Z"
"SOL-PERP","buy","","0.4","96.618","limit","trade","-0.243318","0.030918","2024-02-01T10:30:15.000Z"
"SOL-PERP","sell","","0.4","96.087","limit","trade","-0.030748","0.030748","2024-02-01T10:12:49.000Z"
"SOL-PERP","buy","","0.8","95.904","limit","trade","-0.403779","0.061379","2024-02-01T09:54:47.000Z"
"SOL-PERP","sell","","0.8","95.476","limit","trade","-0.061105","0.061105","2024-02-01T07:40:05.000Z"
"SOL-PERP","buy","","0.7","95.209","limit","trade","-0.483617","0.053317","2024-02-01T07:25:48.000Z"
"SOL-PERP","sell","","0.2","94.565","limit","trade","-0.015134","0.015134","2024-02-01T07:12:08.000Z"
"SOL-PERP","sell","","0.5","94.606","limit","trade","-0.037837","0.037837","2024-02-01T07:12:08.000Z"
"SOL-PERP","buy","","0.6","94.646","limit","trade","-0.04063","0.04543","2024-02-01T06:54:53.000Z"
"SOL-PERP","sell","","0.6","94.654","limit","trade","-0.045434","0.045434","2024-02-01T06:38:17.000Z"
"SOL-PERP","buy","","0.5","94.306","limit","trade","-0.120222","0.037722","2024-02-01T06:12:41.000Z"
"SOL-PERP","sell","","0.5","94.141","limit","trade","-0.037656","0.037656","2024-02-01T05:51:45.000Z"
"SOL-PERP","buy","","0.6","93.644","limit","trade","0.130851","0.044949","2024-02-01T05:37:15.000Z"
"SOL-PERP","sell","","0.6","93.937","limit","trade","-0.04509","0.04509","2024-02-01T05:25:30.000Z"
"SOL-PERP","buy","","0.4","94.168","limit","trade","-0.064934","0.030134","2024-02-01T05:13:53.000Z"
"SOL-PERP","sell","","0.4","94.081","limit","trade","-0.030106","0.030106","2024-02-01T04:59:33.000Z"
"SOL-PERP","buy","","0.4","93.422","limit","trade","0.180505","0.029895","2024-02-01T04:33:26.000Z"
"SOL-PERP","sell","","0.4","93.948","limit","trade","-0.030063","0.030063","2024-02-01T04:17:57.000Z"
"SOL-PERP","buy","","0.1","93.943","limit","trade","-0.055311","0.007511","2024-02-01T03:52:07.000Z"
"SOL-PERP","buy","","0.6","93.886","limit","trade","-0.297668","0.045068","2024-02-01T03:52:07.000Z"
"SOL-PERP","sell","","0.7","93.465","limit","trade","-0.05234","0.05234","2024-02-01T03:26:26.000Z"
"SOL-PERP","buy","","0.8","93.677","limit","trade","0.322447","0.059953","2024-02-01T03:21:57.000Z"
"SOL-PERP","sell","","0.3","94.145","limit","trade","-0.022597","0.022597","2024-02-01T02:54:44.000Z"
"SOL-PERP","sell","","0.5","94.161","limit","trade","-0.037661","0.037661","2024-02-01T02:54:44.000Z"
"SOL-PERP","buy","","0.7","93.935","limit","trade","0.163596","0.052604","2024-02-01T02:29:45.000Z"
"SOL-PERP","sell","","0.1","94.243","limit","trade","-0.007539","0.007539","2024-02-01T02:14:20.000Z"
"SOL-PERP","sell","","0.6","94.244","limit","trade","-0.045236","0.045236","2024-02-01T02:14:20.000Z"
"SOL-PERP","buy","","0.4","94.432","limit","trade","-0.089818","0.030218","2024-02-01T02:01:40.000Z"
"SOL-PERP","sell","","0.4","94.283","limit","trade","-0.030171","0.030171","2024-02-01T01:41:23.000Z"
"SOL-PERP","buy","","0.8","95.414","limit","trade","0.865335","0.061065","2024-02-01T01:29:03.000Z"
"SOL-PERP","sell","","0.8","96.572","limit","trade","-0.061806","0.061806","2024-02-01T01:10:37.000Z"
"SOL-PERP","buy","","0.7","97.269","limit","trade","-0.657171","0.054471","2024-02-01T00:55:45.000Z"
"SOL-PERP","sell","","0.7","96.408","limit","trade","-0.053988","0.053988","2024-02-01T00:44:29.000Z"
"SOL-PERP","buy","","0.4","97.117","limit","trade","0.106528","0.031072","2024-02-01T00:30:17.000Z"
